mcsteps,xCOM,yCOM,il8,il1,il6,il10,tnf,tgf
220000,341,180,[2.0999487e-09],[1.2369284e-15],[1.904762e-36],[0.],[1.7796091e-34],[9.6248956e-17]
220000,96,202,[2.024009e-09],[1.6023105e-12],[9.676599e-22],[2.1229573e-35],[2.3266843e-23],[9.3764304e-14]
220000,233,207,[1.8694193e-09],[2.7883654e-34],[0.],[0.],[0.],[2.3288786e-23]
220000,200,206,[1.994508e-09],[2.1555669e-25],[0.],[0.],[0.],[7.3746674e-20]
220000,326,59,[2.0364619e-09],[3.370312e-10],[2.01149e-18],[7.6332073e-26],[2.9148923e-11],[6.3933056e-15]
220000,57,236,[1.9321584e-09],[7.419433e-11],[4.375582e-11],[2.3748614e-13],[9.6261486e-14],[7.836285e-17]
220000,165,369,[2.1077442e-09],[4.066311e-17],[1.4585e-41],[0.],[0.],[3.3588095e-19]
220000,356,130,[2.563874e-09],[5.7647172e-11],[6.3190924e-12],[2.432823e-15],[5.535598e-16],[5.938222e-13]
220000,282,176,[2.2326407e-09],[6.814232e-24],[0.],[0.],[0.],[2.7e-44]
220000,439,331,[3.596301e-09],[1.5163634e-12],[1.8907506e-11],[2.91502e-14],[4.8166333e-16],[9.354213e-15]
220000,221,275,[2.1501192e-09],[4.874046e-23],[1.1616281e-21],[2.010209e-31],[2.3260708e-38],[3.9105057e-22]
220000,239,178,[2.983412e-09],[9.517972e-31],[0.],[0.],[0.],[2.2e-44]
220000,156,145,[2.519089e-09],[3.1489508e-13],[2.3737648e-18],[2.5362058e-26],[1.8042022e-26],[9.18163e-19]
220000,274,270,[2.1056017e-09],[1.1174893e-15],[8.68019e-40],[0.],[2.121311e-39],[4.4505465e-24]
220000,201,157,[2.2098459e-09],[8.768411e-13],[1.6938827e-10],[7.3941174e-12],[1.5395062e-12],[1.3514166e-29]
220000,442,317,[2.6361393e-09],[2.8311652e-11],[1.01595415e-19],[5.462643e-29],[1.0275208e-17],[3.20756e-15]
220000,142,318,[2.384562e-09],[1.6503444e-16],[1.1080952e-30],[0.],[3.428e-42],[2.29815e-16]
220000,323,160,[2.1589448e-09],[3.0173265e-13],[0.],[0.],[4.7507854e-24],[3.884955e-26]
220000,56,81,[3.950183e-09],[1.5358406e-10],[1.0496799e-14],[6.564363e-20],[1.3417698e-10],[1.5123151e-11]
220000,272,252,[2.040587e-09],[3.7975153e-14],[5.389022e-30],[0.],[2.7656963e-28],[1.4893559e-22]
220000,254,109,[2.6105915e-09],[1.7446488e-13],[2.4078344e-13],[7.910678e-18],[9.3978655e-21],[2.5021345e-19]
220000,387,144,[1.930961e-09],[4.729375e-16],[6.9554487e-15],[3.660343e-20],[1.2213144e-23],[1.07203725e-11]
220000,270,314,[2.0880075e-09],[1.00845896e-23],[0.],[0.],[0.],[2.1936822e-18]
220000,258,361,[2.6116553e-09],[8.4023326e-13],[0.],[0.],[6.8587134e-27],[1.5030308e-17]
220000,91,148,[2.132464e-09],[5.205722e-11],[4.4688328e-15],[9.371385e-21],[5.9772036e-15],[1.2717481e-10]
220000,190,373,[2.4654778e-09],[1.0076705e-11],[3.0495296e-23],[5.041936e-36],[5.356247e-19],[2.9833206e-12]
220000,126,228,[2.5606188e-09],[2.1318193e-17],[2.0427927e-22],[1.2955553e-35],[6.e-45],[9.725112e-12]
