time,X,Y,actual_cytokine_concentration,predicted_cytokine_concentration
0.0,39.0,15.0,4.5776156e-09,-0.009986933
0.0,26.0,25.0,4.6813504e-09,-0.005763065
0.0,25.0,37.0,4.6345003e-09,-0.01771516
0.0,34.0,35.0,9.304457e-09,-0.025836635
0.0,16.0,18.0,1.3559005e-08,0.011617731
0.0,29.0,14.0,4.7847584e-09,0.0028870665
0.0,15.0,23.0,4.788864e-09,0.008043449
0.0,19.0,17.0,3.797621e-07,0.010097418
0.0,26.0,39.0,3.8380261e-07,-0.020985823
0.0,13.0,13.0,3.751417e-07,0.0158722
0.0,17.0,35.0,3.7503963e-07,-0.006366741
0.0,18.0,20.0,3.7961448e-07,0.008172993
0.0,36.0,13.0,3.7949926e-07,-0.0041606016
0.0,41.0,20.0,3.7934092e-07,-0.017888252
0.0,28.0,18.0,3.7934475e-07,-0.00035127625
0.0,24.0,26.0,3.7056734e-07,-0.0045454167
0.0,34.0,17.0,3.8376018e-07,-0.0062726922
0.0,21.0,26.0,3.7498566e-07,-0.0011302494
0.0,30.0,38.0,3.7078144e-07,-0.024460431
0.0,27.0,18.0,3.796563e-07,0.00079350546
0.0,30.0,42.0,3.751371e-07,-0.028592166
0.0,36.0,12.0,3.7493396e-07,-0.003036622
0.0,12.0,16.0,3.7955448e-07,0.014833238
0.0,24.0,29.0,3.8386017e-07,-0.007846739
0.0,40.0,40.0,3.7493388e-07,-0.03755909
0.0,25.0,29.0,3.795012e-07,-0.009010401
0.0,9.0,35.0,3.7514474e-07,0.002601307
0.0,22.0,32.0,3.7514215e-07,-0.008821379
0.0,40.0,7.0,3.749269e-07,-0.002165217
0.0,25.0,16.0,3.751905e-07,0.0051635765
0.0,37.0,39.0,3.7971142e-07,-0.033268187
0.0,31.0,8.0,3.7949982e-07,0.007112447
0.0,32.0,31.0,3.7083632e-07,-0.019331638
0.0,24.0,30.0,3.7960567e-07,-0.008946393
0.0,41.0,19.0,3.7954797e-07,-0.016795237
0.0,23.0,18.0,3.7939677e-07,0.005203005
0.0,36.0,17.0,3.8816913e-07,-0.008650828
0.0,10.0,38.0,3.7960186e-07,-0.0016715936
0.0,40.0,28.0,3.7077697e-07,-0.025298845
0.0,7.0,12.0,3.79289e-07,0.01511557
0.0,38.0,38.0,3.7535492e-07,-0.033357885
0.0,36.0,15.0,3.8396772e-07,-0.006408166
0.0,17.0,38.0,3.7945313e-07,-0.009612445
0.0,18.0,35.0,3.7498526e-07,-0.007501278
0.0,10.0,18.0,3.8375197e-07,0.014574777
0.0,28.0,28.0,3.8412722e-07,-0.011414681
0.0,16.0,8.0,3.7944739e-07,0.017667647
0.0,37.0,26.0,3.751978e-07,-0.019732524
0.0,7.0,34.0,3.750357e-07,0.0064779036
0.0,15.0,33.0,3.7949812e-07,-0.0019941293
0.0,39.0,19.0,3.7487453e-07,-0.014437508
0.0,23.0,19.0,3.7509093e-07,0.004154768
0.0,25.0,17.0,3.8376007e-07,0.0041055717
0.0,20.0,18.0,3.796071e-07,0.008231591
0.0,18.0,13.0,3.7508707e-07,0.014242839
0.0,13.0,27.0,3.8391346e-07,0.0061214827
0.0,38.0,16.0,3.7067872e-07,-0.009914067
0.0,21.0,37.0,3.7525285e-07,-0.01311503
0.0,33.0,39.0,3.7078397e-07,-0.028849896
0.0,14.0,24.0,3.7503958e-07,0.007997092
0.0,22.0,39.0,3.883249e-07,-0.01641981
0.0,22.0,8.0,3.7944608e-07,0.0155111365
0.0,30.0,27.0,3.7960694e-07,-0.01265746
0.0,22.0,12.0,3.797663e-07,0.012084138
0.0,11.0,37.0,3.7965563e-07,-0.0017842613
0.0,30.0,36.0,3.75138e-07,-0.022361983
0.0,37.0,32.0,3.7966257e-07,-0.026090663
0.0,31.0,23.0,3.74987e-07,-0.009413298
0.0,11.0,36.0,1.3560115e-08,-0.0007462613
0.0,20.0,11.0,4.627067e-09,0.014498252
0.0,16.0,17.0,4.741417e-09,0.012425009
0.0,12.0,19.0,4.5750586e-09,0.013262656
0.0,9.0,34.0,1.3453863e-08,0.003591869
0.0,8.0,33.0,1.3505634e-08,0.0058710016
0.0,37.0,31.0,1.361089e-08,-0.025044736
0.0,8.0,16.0,6.086089e-11,0.01583511
0.0,21.0,18.0,9.20362e-09,0.0072575696
0.0,40.0,14.0,8.937814e-09,-0.0100609325
0.0,41.0,41.0,4.6274127e-09,-0.039649133
0.0,20.0,23.0,1.3558297e-08,0.003159348
0.0,30.0,20.0,9.091159e-09,-0.0048971362
0.0,16.0,11.0,9.300626e-09,0.016409535
0.0,34.0,10.0,9.198669e-09,0.0015493147
0.0,36.0,42.0,4.6799697e-09,-0.035189446
0.0,17.0,8.0,9.09164e-09,0.017664935
0.0,20.0,7.0,9.038999e-09,0.017377224
0.0,16.0,23.0,9.093631e-09,0.007147033
0.0,29.0,19.0,4.630122e-09,-0.002614919
0.0,23.0,24.0,8.933386e-09,-0.0012121908
0.0,31.0,30.0,4.7891304e-09,-0.017097238
0.0,36.0,32.0,9.2011305e-09,-0.024960857
0.0,13.0,18.0,8.98667e-09,0.013411704
0.0,29.0,7.0,4.7863637e-09,0.010262463
0.0,32.0,10.0,3.7688097e-10,0.0038468428
0.0,19.0,35.0,9.0422825e-09,-0.008643333
0.0,29.0,35.0,5.351322e-10,-0.020162318
0.0,41.0,22.0,2.6909727e-10,-0.02005842
0.0,18.0,23.0,9.097363e-09,0.0052243806
0.0,40.0,17.0,4.5800497e-09,-0.013407435
