X,Y,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6
0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.0,0.0,5.0219300077951765e-08,1.644896219822309e-07
0,2,0.0,0.0,0.0,0.0,0.0,2.658484806112065e-07
0,3,0.0,0.0,0.0,0.0,0.0,0.0
0,4,0.0,0.0,0.0,0.0,0.0,8.664927475182164e-08
0,5,0.0,0.0,0.0,0.0,0.0,5.7520282502546916e-08
0,6,0.0,0.0,0.0,0.0,0.0,0.0
0,7,0.0,0.0,0.0,0.0,0.0,0.0
0,8,0.0,0.0,0.0,0.0,0.0,1.1504198532778974e-07
0,9,0.0,0.0,0.0,0.0,0.0,6.861399653738921e-08
0,10,0.0,0.0,0.0,6.493769615106539e-09,0.0,2.516241077295001e-07
0,11,0.0,0.0,0.0,0.0,1.3071408050595211e-08,2.863541163497748e-07
0,12,0.0,0.0,3.0499027438784804e-08,0.0,9.931083287941116e-09,0.0
0,13,0.0,0.0,0.0,0.0,0.0,0.0
0,14,0.0,0.0,0.0,0.0,2.533987746383985e-08,5.612915746270292e-08
0,15,0.0,0.0,0.0,0.0,9.616860309660827e-09,1.4148226139185636e-07
0,16,0.0,3.730012778524235e-08,0.0,0.0,0.0,1.619898116071395e-07
0,17,0.0,0.0,0.0,0.0,0.0,0.0
0,18,0.0,0.0,0.0,0.0,0.0,1.2814453323708594e-07
0,19,0.0,0.0,0.0,0.0,0.0,0.0
0,20,0.0,0.0,0.0,0.0,0.0,2.290621157553802e-08
0,21,0.0,0.0,0.0,0.0,0.0,0.0
0,22,0.0,0.0,3.9238545058686084e-08,0.0,1.5173263287704667e-08,1.4553929870482282e-07
0,23,0.0,0.0,0.0,0.0,0.0,7.71534340523575e-08
0,24,0.0,0.0,3.103860739578953e-08,0.0,0.0,0.0
0,25,0.0,0.0,0.0,0.0,0.0,0.0
0,26,0.0,0.0,0.0,0.0,0.0,2.3418935349845553e-07
0,27,0.0,0.0,0.0,7.681182818705174e-09,1.4565889999801077e-08,3.1396634315214275e-07
0,28,0.0,0.0,0.0,0.0,0.0,1.5694469526787365e-07
