mcsteps,1,2,3,4,5,6,7,8,9,10,il8mean,il1mean,il6mean,il10mean,tnfmean,tgfmean,il8std,il1std,il6std,il10std,tnfstd,tgfstd
210000,2957.0,121.0,93.0,127.0,89.0,1.0,131.0,17.0,122.0,37.0,4.1577284e-09,2.5822658e-11,9.094308e-12,1.7132429e-12,3.3030856e-11,3.0291162e-11,1.0121533e-09,1.7943969e-10,1.6019089e-10,3.3830504e-11,3.70988e-10,2.5447489e-10
220000,2957.0,115.0,69.0,127.0,87.0,1.0,119.0,23.0,148.0,37.0,4.2790913e-09,2.8574526e-11,4.1210013e-12,6.2738297e-13,3.60522e-11,3.492744e-11,1.0251202e-09,1.8693956e-10,8.6123664e-11,1.8817649e-11,3.6793035e-10,2.7513122e-10
230000,2957.0,95.0,56.0,127.0,91.0,1.0,112.0,16.0,141.0,37.0,4.405114e-09,3.0704637e-11,8.183515e-12,1.5420719e-12,4.000842e-11,4.4311194e-11,1.0328428e-09,1.96281e-10,1.4519878e-10,3.1261674e-11,3.8342857e-10,3.2073721e-10
240000,2957.0,86.0,43.0,127.0,91.0,1.0,101.0,18.0,131.0,37.0,4.523899e-09,3.244012e-11,6.4115527e-12,1.0903235e-12,4.0297553e-11,4.83009e-11,1.0532591e-09,2.0118551e-10,1.1957095e-10,2.5407568e-11,3.874043e-10,3.3222122e-10
250000,2957.0,77.0,34.0,126.0,86.0,1.0,90.0,13.0,133.0,38.0,4.643558e-09,2.9720438e-11,5.512779e-12,9.154612e-13,3.61056e-11,4.4516963e-11,1.0741578e-09,1.8259436e-10,1.0926913e-10,2.3338064e-11,3.7059808e-10,3.127966e-10
260000,2957.0,68.0,26.0,126.0,77.0,2.0,77.0,14.0,114.0,38.0,4.763676e-09,3.0300994e-11,4.94752e-12,9.390214e-13,3.8608894e-11,4.5856673e-11,1.0906788e-09,1.8306155e-10,8.780017e-11,2.1593923e-11,3.759027e-10,3.1461686e-10
270000,2957.0,57.0,20.0,125.0,76.0,2.0,69.0,6.0,133.0,39.0,4.8959765e-09,2.727312e-11,5.1228934e-12,8.1086884e-13,3.146423e-11,4.178169e-11,1.0891184e-09,1.6057722e-10,9.8470385e-11,2.1076698e-11,3.4357986e-10,2.909226e-10
280000,2957.0,49.0,15.0,125.0,66.0,2.0,63.0,6.0,116.0,39.0,4.998463e-09,2.8051504e-11,6.5824395e-12,1.0968082e-12,3.2589674e-11,4.61797e-11,1.1265369e-09,1.6241641e-10,1.1948571e-10,2.5312112e-11,3.381871e-10,3.0507352e-10
290000,2957.0,40.0,11.0,124.0,58.0,1.0,47.0,12.0,104.0,40.0,5.131478e-09,2.7849462e-11,4.5869025e-12,6.822249e-13,3.0773387e-11,4.0597536e-11,1.1184552e-09,1.5847497e-10,8.592482e-11,1.8469733e-11,3.2883946e-10,2.718172e-10
300000,2957.0,46.0,93.0,133.0,45.0,1.0,52.0,10.0,99.0,43.0,5.243641e-09,2.6506661e-11,5.363719e-12,8.7412174e-13,2.8731203e-11,3.988057e-11,1.1331676e-09,1.4764101e-10,9.843245e-11,2.1426099e-11,3.1272593e-10,2.6583147e-10
310000,2957.0,43.0,66.0,133.0,43.0,1.0,71.0,2.0,112.0,43.0,5.353621e-09,2.6427568e-11,4.724599e-12,7.4704273e-13,2.6679079e-11,3.937237e-11,1.1609339e-09,1.43787e-10,8.585843e-11,1.890712e-11,2.9901343e-10,2.5462585e-10
320000,2957.0,30.0,48.0,131.0,50.0,1.0,67.0,7.0,99.0,45.0,5.470503e-09,2.5779576e-11,6.828925e-12,1.1228958e-12,2.6102183e-11,4.075009e-11,1.1703715e-09,1.3370997e-10,1.1957323e-10,2.5222198e-11,2.9068106e-10,2.576173e-10
330000,2957.0,26.0,35.0,130.0,52.0,1.0,62.0,12.0,93.0,46.0,5.576342e-09,2.4339104e-11,5.444724e-12,8.3770556e-13,2.3810662e-11,4.3149675e-11,1.1943615e-09,1.1966178e-10,9.836509e-11,2.0850006e-11,2.756696e-10,2.6526922e-10
340000,2957.0,25.0,27.0,129.0,45.0,1.0,57.0,8.0,90.0,47.0,5.694704e-09,2.3615223e-11,3.4748645e-12,4.204536e-13,1.9820987e-11,4.2920837e-11,1.2012125e-09,1.10920224e-10,5.183213e-11,1.1491347e-11,2.4884625e-10,2.613628e-10
350000,2957.0,21.0,22.0,128.0,42.0,1.0,49.0,8.0,102.0,48.0,5.81276e-09,2.4269364e-11,5.5129633e-12,8.342264e-13,2.1869404e-11,4.3502542e-11,1.2129047e-09,1.1623306e-10,9.836426e-11,2.0813634e-11,2.5892172e-10,2.631535e-10
360000,2957.0,19.0,19.0,128.0,36.0,1.0,36.0,11.0,105.0,48.0,5.924328e-09,2.4013198e-11,6.942586e-12,1.132055e-12,2.1889605e-11,4.5775207e-11,1.2254223e-09,1.0945964e-10,1.2000993e-10,2.5191236e-11,2.541813e-10,2.726127e-10
370000,2957.0,15.0,14.0,128.0,29.0,1.0,32.0,5.0,105.0,48.0,6.0272556e-09,2.4319689e-11,5.0925015e-12,7.907513e-13,2.2057247e-11,4.7088246e-11,1.2509646e-09,1.1015343e-10,8.586823e-11,1.8860814e-11,2.5653762e-10,2.7140823e-10
380000,2957.0,13.0,12.0,127.0,20.0,1.0,26.0,6.0,112.0,49.0,6.1485403e-09,2.4321727e-11,3.684465e-12,4.2362516e-13,2.141597e-11,4.6632323e-11,1.2496219e-09,1.11677834e-10,5.155902e-11,1.1285087e-11,2.52542e-10,2.6539496e-10
390000,2957.0,10.0,9.0,126.0,15.0,0.0,21.0,4.0,107.0,50.0,6.2598886e-09,2.3505085e-11,5.9319017e-12,8.8988213e-13,2.1902157e-11,4.5796516e-11,1.261717e-09,1.02249306e-10,9.906633e-11,2.080361e-11,2.4946603e-10,2.5587021e-10
400000,2957.0,17.0,85.0,135.0,16.0,0.0,41.0,3.0,99.0,54.0,6.3538512e-09,2.238366e-11,5.3281333e-12,8.014505e-13,1.785536e-11,5.1093563e-11,1.290731e-09,8.5755035e-11,8.6006015e-11,1.9102964e-11,2.1426151e-10,2.808321e-10
410000,2957.0,15.0,60.0,134.0,17.0,0.0,56.0,2.0,93.0,55.0,6.4490804e-09,2.4570764e-11,4.9882112e-12,7.11439e-13,2.1429589e-11,5.691511e-11,1.3226811e-09,1.05262014e-10,7.7062454e-11,1.7590906e-11,2.4584848e-10,3.0452238e-10
420000,2957.0,14.0,39.0,133.0,18.0,0.0,63.0,3.0,105.0,56.0,6.5669723e-09,2.4660716e-11,4.2467796e-12,5.6827356e-13,2.2553388e-11,5.4720513e-11,1.3221203e-09,1.09553956e-10,5.142007e-11,1.3921969e-11,2.5297497e-10,2.9351882e-10
430000,2957.0,9.0,26.0,133.0,19.0,0.0,59.0,8.0,102.0,56.0,6.669897e-09,2.7123002e-11,4.747807e-12,6.910164e-13,2.546323e-11,5.8190813e-11,1.3404384e-09,1.300555e-10,6.553301e-11,1.6724655e-11,2.7678207e-10,3.1159153e-10
440000,2957.0,7.0,18.0,133.0,20.0,0.0,51.0,5.0,104.0,56.0,6.771391e-09,2.7560008e-11,4.6445803e-12,6.8395994e-13,2.7526802e-11,5.877482e-11,1.3602e-09,1.3073058e-10,6.205897e-11,1.6332342e-11,2.8747213e-10,3.1990918e-10
450000,2957.0,5.0,14.0,133.0,19.0,0.0,44.0,4.0,116.0,56.0,6.8749455e-09,2.7181224e-11,3.9824997e-12,5.56896e-13,2.6126424e-11,5.681892e-11,1.3792824e-09,1.2787509e-10,3.4537213e-11,1.2465422e-11,2.7835967e-10,3.0903147e-10
460000,2957.0,5.0,13.0,131.0,17.0,0.0,34.0,9.0,110.0,58.0,6.9851036e-09,2.698328e-11,4.571663e-12,6.819296e-13,2.7128105e-11,5.6340356e-11,1.384941e-09,1.2661766e-10,5.7450492e-11,1.5649057e-11,2.9442246e-10,3.1098352e-10
470000,2957.0,4.0,8.0,129.0,15.0,0.0,28.0,3.0,112.0,60.0,7.1012654e-09,2.5964028e-11,5.365786e-12,8.494909e-13,2.5177775e-11,5.469147e-11,1.3806728e-09,1.1460204e-10,7.4264574e-11,1.8389101e-11,2.66667e-10,3.0202835e-10
480000,2957.0,3.0,8.0,127.0,14.0,0.0,25.0,2.0,116.0,62.0,7.2023534e-09,2.4649694e-11,3.860796e-12,5.381026e-13,2.2786316e-11,5.407153e-11,1.4032455e-09,9.99211e-11,2.6150875e-11,1.119472e-11,2.467256e-10,3.0159972e-10
490000,2957.0,3.0,6.0,127.0,13.0,0.0,23.0,2.0,107.0,62.0,7.308286e-09,2.4159005e-11,4.5327574e-12,7.057766e-13,2.141226e-11,5.593768e-11,1.411535e-09,9.477179e-11,5.409754e-11,1.4949585e-11,2.3287125e-10,3.1164166e-10
500000,2957.0,11.0,75.0,136.0,11.0,0.0,46.0,3.0,106.0,66.0,7.3965416e-09,2.3580807e-11,5.2292e-12,8.2701543e-13,2.0569251e-11,5.6061173e-11,1.4391044e-09,8.604651e-11,7.206894e-11,1.7649162e-11,2.238263e-10,3.1017505e-10
510000,2957.0,8.0,52.0,136.0,12.0,0.0,56.0,6.0,112.0,66.0,7.497641e-09,2.4655899e-11,4.468835e-12,6.777365e-13,2.4063859e-11,5.914231e-11,1.4554531e-09,9.982446e-11,5.271792e-11,1.4244755e-11,2.5135136e-10,3.222013e-10
520000,2957.0,8.0,37.0,133.0,9.0,0.0,58.0,7.0,114.0,69.0,7.600584e-09,2.507463e-11,3.8007128e-12,5.312225e-13,2.2294847e-11,6.042978e-11,1.4644614e-09,1.015504e-10,2.006912e-11,9.77349e-12,2.4014538e-10,3.286421e-10
530000,2957.0,7.0,22.0,131.0,9.0,0.0,58.0,8.0,121.0,71.0,7.699697e-09,2.5052299e-11,3.7013643e-12,5.0658745e-13,2.566042e-11,6.302916e-11,1.4829458e-09,1.0060659e-10,1.886998e-11,9.391578e-12,2.5840016e-10,3.3695371e-10
540000,2957.0,5.0,14.0,131.0,9.0,0.0,53.0,10.0,132.0,71.0,7.806157e-09,2.4461247e-11,5.017662e-12,7.0825664e-13,2.2520447e-11,5.9200034e-11,1.4865256e-09,9.444448e-11,7.158759e-11,1.6007766e-11,2.358454e-10,2.701544e-10
550000,2957.0,4.0,11.0,129.0,8.0,0.0,42.0,9.0,141.0,73.0,7.903933e-09,2.4476317e-11,5.00396e-12,7.095865e-13,2.2678737e-11,6.3457815e-11,1.5004695e-09,9.4193854e-11,7.031563e-11,1.5784832e-11,2.3649693e-10,2.8158087e-10
560000,2957.0,3.0,9.0,129.0,9.0,0.0,34.0,5.0,143.0,73.0,8.005489e-09,2.4823367e-11,4.969435e-12,7.0577826e-13,2.4330983e-11,6.4564354e-11,1.5158542e-09,9.861769e-11,7.091303e-11,1.5739725e-11,2.466094e-10,2.7645192e-10
