X,Y,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6
0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,2,0.0,0.0,0.0,0.0,0.0,2.7292434076489347e-07
0,3,0.0,0.0,0.0,0.0,0.0,6.988853846398611e-07
0,4,0.0,0.0,0.0,0.0,0.0,8.099095771390282e-08
0,5,0.0,0.0,0.0,0.0,0.0,0.0
0,6,0.0,0.0,0.0,0.0,0.0,0.0
0,7,0.0,0.0,0.0,0.0,0.0,0.0
0,8,0.0,0.0,0.0,0.0,0.0,0.0
0,9,0.0,0.0,0.0,0.0,0.0,0.0
0,10,0.0,0.0,0.0,0.0,0.0,2.589035830831727e-07
0,11,0.0,0.0,0.0,0.0,0.0,2.909196053314758e-07
0,12,0.0,0.0,0.0,0.0,0.0,0.0
0,13,0.0,0.0,0.0,0.0,0.0,0.0
0,14,0.0,0.0,0.0,0.0,0.0,0.0
0,15,0.0,0.0,0.0,0.0,0.0,0.0
0,16,0.0,0.0,0.0,0.0,0.0,1.6340579606654593e-07
0,17,0.0,0.0,0.0,0.0,0.0,0.0
0,18,0.0,0.0,0.0,0.0,0.0,1.3154819498547926e-07
0,19,0.0,0.0,0.0,0.0,0.0,0.0
0,20,0.0,0.0,0.0,0.0,0.0,0.0
0,21,0.0,0.0,0.0,0.0,0.0,0.0
0,22,0.0,0.0,0.0,0.0,0.0,0.0
0,23,0.0,0.0,0.0,0.0,0.0,0.0
0,24,0.0,0.0,0.0,0.0,0.0,7.805697593336687e-08
0,25,0.0,0.0,0.0,0.0,0.0,0.0
0,26,0.0,0.0,0.0,0.0,0.0,0.0
0,27,0.0,0.0,0.0,0.0,0.0,3.108583836938814e-07
0,28,0.0,0.0,0.0,0.0,0.0,0.0
0,29,0.0,0.0,0.0,0.0,0.0,0.0
0,30,0.0,0.0,0.0,0.0,0.0,0.0
0,31,0.0,0.0,0.0,0.0,0.0,0.0
0,32,0.0,0.0,0.0,0.0,0.0,3.83160254701192e-07
0,33,0.0,0.0,0.0,0.0,0.0,0.0
0,34,0.0,0.0,0.0,0.0,0.0,0.0
0,35,0.0,0.0,0.0,0.0,0.0,1.2486378389711682e-07
0,36,0.0,0.0,0.0,0.0,4.889871802538841e-08,1.1860876717004469e-07
0,37,0.0,0.0,0.0,0.0,0.0,1.896591319282476e-07
0,38,0.0,0.0,0.0,0.0,0.0,1.4667565466984543e-07
