timestep,X,Y,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6
72,0,0,0.0,0.0,0.0,0.0,0.0,0.0
72,0,1,0.0,0.0,0.0,0.0,0.0,0.0
72,0,2,0.0,0.0,0.0,0.0,0.0,0.0
72,0,3,0.0,0.0,0.0,0.0,0.0,0.0
72,0,4,0.0,0.0,0.0,0.0,0.0,0.0
72,0,5,0.0,0.0,0.0,0.0,0.0,0.0
72,0,6,0.0,0.0,0.0,0.0,0.0,0.0
72,0,7,0.0,0.0,0.0,0.0,0.0,0.0
72,0,8,0.0,0.0,0.0,0.0,0.0,0.0
72,0,9,0.0,0.0,0.0,0.0,0.0,0.0
72,0,10,0.0,0.0,0.0,0.0,0.0,0.0
72,0,11,0.0,0.0,0.0,0.0,0.0,0.0
72,0,12,0.0,0.0,0.0,0.0,0.0,0.0
72,0,13,0.0,0.0,0.0,0.0,0.0,0.0
72,0,14,0.0,0.0,0.0,0.0,0.0,2.1645274e-08
72,0,15,0.0,0.0,0.0,0.0,0.0,0.0
72,0,16,0.0,0.0,0.0,0.0,0.0,0.0
72,0,17,0.0,0.0,0.0,0.0,0.0,0.0
72,0,18,0.0,0.0,0.0,0.0,0.0,0.0
72,0,19,0.0,0.0,0.0,0.0,0.0,0.0
72,0,20,0.0,0.0,0.0,0.0,0.0,2.3262809e-08
72,0,21,0.0,0.0,0.0,0.0,0.0,0.0
72,0,22,0.0,0.0,0.0,0.0,0.0,0.0
72,0,23,0.0,0.0,0.0,0.0,0.0,0.0
72,0,24,0.0,0.0,0.0,0.0,0.0,0.0
72,0,25,0.0,0.0,0.0,0.0,0.0,0.0
72,0,26,0.0,0.0,0.0,0.0,0.0,0.0
72,0,27,0.0,0.0,0.0,0.0,0.0,0.0
72,0,28,0.0,0.0,0.0,0.0,0.0,0.0
72,0,29,0.0,0.0,0.0,0.0,0.0,0.0
72,0,30,0.0,0.0,0.0,0.0,0.0,0.0
72,0,31,0.0,0.0,0.0,0.0,0.0,0.0
72,0,32,0.0,0.0,0.0,0.0,0.0,0.0
72,0,33,0.0,0.0,0.0,0.0,2.4046361e-08,0.0
72,0,34,0.0,0.0,0.0,0.0,0.0,0.0
72,0,35,0.0,0.0,0.0,0.0,0.0,0.0
72,0,36,0.0,0.0,0.0,0.0,0.0,0.0
72,0,37,0.0,0.0,0.0,0.0,0.0,0.0
72,0,38,0.0,0.0,0.0,0.0,0.0,0.0
72,0,39,0.0,0.0,0.0,0.0,0.0,0.0
72,0,40,0.0,0.0,0.0,0.0,0.0,0.0
72,0,41,0.0,0.0,0.0,0.0,0.0,0.0
72,0,42,0.0,0.0,0.0,0.0,0.0,0.0
72,0,43,0.0,0.0,0.0,0.0,0.0,0.0
72,0,44,0.0,0.0,0.0,0.0,0.0,0.0
72,0,45,0.0,0.0,0.0,0.0,0.0,0.0
72,0,46,0.0,0.0,0.0,0.0,0.0,0.0
72,0,47,0.0,0.0,0.0,0.0,0.0,0.0
72,0,48,0.0,0.0,0.0,0.0,0.0,0.0
72,0,49,0.0,0.0,0.0,0.0,0.0,0.0
72,1,0,0.0,0.0,0.0,0.0,0.0,0.0
72,1,1,0.0,0.0,0.0,0.0,0.0,0.0
72,1,2,0.0,0.0,0.0,0.0,0.0,0.0
72,1,3,0.0,0.0,0.0,0.0,0.0,0.0
72,1,4,0.0,0.0,0.0,0.0,0.0,0.0
72,1,5,0.0,0.0,0.0,0.0,0.0,0.0
72,1,6,0.0,0.0,0.0,0.0,0.0,0.0
72,1,7,0.0,0.0,0.0,0.0,0.0,0.0
72,1,8,0.0,0.0,0.0,0.0,0.0,0.0
72,1,9,0.0,0.0,0.0,0.0,0.0,0.0
72,1,10,0.0,0.0,0.0,0.0,0.0,0.0
72,1,11,0.0,0.0,0.0,0.0,0.0,0.0
72,1,12,0.0,0.0,0.0,0.0,0.0,0.0
72,1,13,0.0,0.0,0.0,0.0,0.0,0.0
72,1,14,0.0,0.0,0.0,0.0,0.0,0.0
72,1,15,0.0,0.0,0.0,0.0,0.0,0.0
72,1,16,0.0,0.0,0.0,0.0,0.0,0.0
72,1,17,0.0,0.0,0.0,0.0,0.0,0.0
72,1,18,0.0,0.0,0.0,0.0,0.0,0.0
72,1,19,0.0,0.0,0.0,0.0,0.0,0.0
72,1,20,0.0,0.0,0.0,0.0,0.0,2.139928e-08
72,1,21,0.0,0.0,0.0,0.0,0.0,0.0
72,1,22,0.0,0.0,0.0,0.0,0.0,0.0
72,1,23,0.0,0.0,0.0,0.0,0.0,0.0
72,1,24,0.0,0.0,0.0,0.0,0.0,0.0
72,1,25,0.0,0.0,0.0,0.0,0.0,0.0
72,1,26,0.0,0.0,0.0,0.0,0.0,0.0
72,1,27,0.0,0.0,0.0,0.0,0.0,0.0
72,1,28,0.0,0.0,0.0,0.0,0.0,0.0
72,1,29,0.0,0.0,0.0,0.0,0.0,0.0
72,1,30,0.0,0.0,0.0,0.0,0.0,0.0
72,1,31,0.0,0.0,0.0,0.0,0.0,0.0
72,1,32,0.0,0.0,0.0,0.0,0.0,0.0
72,1,33,0.0,0.0,0.0,0.0,0.0,0.0
72,1,34,0.0,0.0,0.0,0.0,0.0,0.0
72,1,35,0.0,0.0,0.0,0.0,0.0,2.1271934e-08
72,1,36,0.0,0.0,0.0,0.0,0.0,0.0
72,1,37,0.0,0.0,0.0,0.0,0.0,0.0
72,1,38,0.0,0.0,0.0,0.0,0.0,0.0
