X,Y,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6
0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,2,0.0,0.0,0.0,0.0,0.0,2.616323816805631e-07
0,3,0.0,0.0,0.0,0.0,0.0,6.917804809882845e-07
0,4,0.0,0.0,0.0,0.0,0.0,0.0
0,5,0.0,0.0,0.0,0.0,0.0,0.0
0,6,0.0,0.0,0.0,0.0,0.0,0.0
0,7,0.0,0.0,0.0,0.0,0.0,1.76000518148701e-07
0,8,0.0,0.0,0.0,0.0,0.0,0.0
0,9,0.0,0.0,0.0,0.0,0.0,0.0
0,10,0.0,0.0,0.0,0.0,0.0,2.4864875937233693e-07
0,11,0.0,0.0,0.0,0.0,0.0,2.872390571155838e-07
0,12,0.0,0.0,0.0,0.0,0.0,0.0
0,13,0.0,0.0,0.0,0.0,0.0,0.0
0,14,0.0,0.0,0.0,0.0,0.0,0.0
0,15,0.0,0.0,0.0,0.0,0.0,0.0
0,16,0.0,0.0,0.0,0.0,0.0,0.0
0,17,0.0,0.0,0.0,0.0,0.0,0.0
0,18,0.0,0.0,0.0,0.0,0.0,1.2731753969151206e-07
0,19,0.0,0.0,0.0,0.0,0.0,0.0
0,20,0.0,0.0,0.0,0.0,0.0,0.0
0,21,0.0,0.0,0.0,0.0,0.0,2.1798503448910038e-07
0,22,0.0,0.0,0.0,0.0,0.0,0.0
0,23,0.0,0.0,0.0,0.0,0.0,0.0
0,24,0.0,0.0,0.0,0.0,0.0,0.0
0,25,0.0,0.0,0.0,0.0,0.0,0.0
0,26,0.0,0.0,0.0,0.0,0.0,0.0
0,27,0.0,0.0,0.0,0.0,0.0,3.1350904811282145e-07
0,28,0.0,0.0,0.0,0.0,0.0,0.0
0,29,0.0,0.0,0.0,0.0,0.0,0.0
0,30,0.0,0.0,0.0,0.0,0.0,0.0
0,31,0.0,0.0,0.0,0.0,0.0,0.0
0,32,0.0,0.0,0.0,0.0,0.0,3.8466739852752275e-07
0,33,0.0,0.0,0.0,0.0,0.0,0.0
0,34,0.0,0.0,0.0,0.0,0.0,0.0
0,35,0.0,0.0,0.0,0.0,0.0,0.0
0,36,0.0,0.0,0.0,0.0,0.0,0.0
0,37,0.0,0.0,0.0,0.0,0.0,1.823556675909391e-07
0,38,0.0,0.0,0.0,0.0,0.0,1.3945806294201135e-07
0,39,0.0,0.0,0.0,0.0,0.0,0.0
