X,Y,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6
0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.0,0.0,5.00847107931374e-08,1.6379081415144677e-07
0,2,0.0,0.0,0.0,0.0,0.0,2.611086628237326e-07
0,3,0.0,0.0,0.0,0.0,0.0,6.917887179794472e-07
0,4,0.0,0.0,0.0,0.0,0.0,8.580828713395385e-08
0,5,0.0,0.0,0.0,0.0,0.0,5.729641638512939e-08
0,6,0.0,0.0,0.0,0.0,0.0,7.606233249220088e-08
0,7,0.0,0.0,0.0,0.0,0.0,1.7672684622736015e-07
0,8,0.0,0.0,0.0,0.0,0.0,1.1380865780345946e-07
0,9,0.0,0.0,0.0,0.0,0.0,0.0
0,10,0.0,0.0,3.537154866888778e-08,0.0,0.0,2.4998143081637434e-07
0,11,0.0,0.0,0.0,0.0,0.0,2.89466007249689e-07
0,12,0.0,0.0,2.947042251458965e-08,0.0,9.084177326885986e-09,1.1109780294780356e-07
0,13,0.0,0.0,0.0,0.0,0.0,1.0415135599246581e-07
0,14,0.0,0.0,0.0,0.0,0.0,5.6160266641005954e-08
0,15,0.0,0.0,0.0,0.0,0.0,1.3932917232550442e-07
0,16,0.0,0.0,0.0,0.0,0.0,0.0
0,17,0.0,0.0,0.0,0.0,0.0,4.545333785649953e-08
0,18,0.0,0.0,0.0,0.0,0.0,0.0
0,19,0.0,0.0,0.0,0.0,0.0,6.91320597387443e-08
0,20,0.0,0.0,0.0,0.0,0.0,2.285565211875673e-08
0,21,0.0,0.0,0.0,0.0,0.0,2.1856429475502344e-07
0,22,0.0,0.0,3.898061251656816e-08,0.0,0.0,1.4706250165838962e-07
0,23,0.0,0.0,0.0,0.0,0.0,7.625956003914069e-08
0,24,0.0,0.0,3.037096786352567e-08,0.0,0.0,0.0
0,25,0.0,0.0,0.0,0.0,0.0,0.0
0,26,0.0,0.0,0.0,0.0,0.0,2.366970042675546e-07
0,27,0.0,0.0,4.26135761924226e-08,0.0,0.0,3.1445895361974345e-07
0,28,0.0,0.0,0.0,0.0,0.0,0.0
0,29,0.0,0.0,0.0,0.0,0.0,0.0
0,30,0.0,0.0,0.0,0.0,0.0,0.0
0,31,0.0,0.0,0.0,0.0,0.0,0.0
0,32,0.0,0.0,0.0,0.0,0.0,3.870917136322609e-07
0,33,0.0,0.0,0.0,0.0,0.0,0.0
0,34,0.0,0.0,0.0,0.0,0.0,8.336510502877036e-08
0,35,0.0,0.0,0.0,0.0,0.0,1.1608332173175594e-07
0,36,0.0,0.0,0.0,0.0,0.0,0.0
0,37,0.0,0.0,0.0,0.0,0.0,1.8205302920593065e-07
0,38,0.0,0.0,0.0,0.0,0.0,1.385599468733962e-07
0,39,0.0,0.0,0.0,0.0,0.0,1.0171081452839982e-07
0,40,0.0,0.0,0.0,0.0,0.0,4.453754182953468e-08
0,41,0.0,0.0,0.0,0.0,0.0,0.0
0,42,0.0,0.0,0.0,0.0,0.0,0.0
0,43,0.0,0.0,0.0,0.0,0.0,0.0
0,44,0.0,0.0,0.0,0.0,0.0,9.42656494987717e-08
0,45,0.0,0.0,0.0,0.0,5.5804465927175744e-08,0.0
0,46,0.0,0.0,0.0,0.0,0.0,1.0232013979857666e-07
0,47,0.0,0.0,0.0,0.0,6.96206745081394e-08,2.686977958707159e-07
0,48,0.0,0.0,0.0,0.0,0.0,0.0
0,49,0.0,5.199871907750688e-08,0.0,0.0,0.0,3.1783906481885236e-07
1,0,0.0,0.0,0.0,0.0,0.0,3.679048636619047e-08
1,1,0.0,3.1298111882724532e-09,0.0,0.0,0.0,2.3083977569640285e-07
1,2,0.0,0.0,0.0,0.0,0.0,8.88137336240305e-08
1,3,0.0,0.0,0.0,0.0,0.0,0.0
1,4,0.0,0.0,0.0,0.0,0.0,2.402969303585189e-07
1,5,0.0,0.0,0.0,0.0,0.0,0.0
1,6,0.0,0.0,0.0,0.0,0.0,3.9291118428190007e-08
1,7,0.0,0.0,0.0,0.0,0.0,1.875205363657538e-07
1,8,0.0,0.0,0.0,0.0,0.0,2.537767095036696e-07
1,9,0.0,0.0,0.0,0.0,0.0,3.4075551519518506e-07
1,10,0.0,0.0,0.0,0.0,0.0,1.8294933580715808e-07
1,11,0.0,0.0,0.0,0.0,0.0,8.664298458368666e-08
1,12,0.0,0.0,0.0,0.0,3.226045294960281e-08,0.0
1,13,0.0,0.0,0.0,0.0,0.0,2.7179626056880515e-07
1,14,0.0,0.0,0.0,0.0,0.0,1.2981932101142645e-07
1,15,0.0,0.0,0.0,0.0,0.0,4.641859449505385e-08
1,16,0.0,1.7845362935854465e-08,0.0,0.0,2.0215770346129333e-08,5.020837635368833e-08
1,17,0.0,0.0,0.0,0.0,0.0,0.0
1,18,0.0,0.0,0.0,0.0,0.0,0.0
1,19,0.0,0.0,0.0,0.0,0.0,1.4552272643507364e-07
1,20,0.0,0.0,0.0,0.0,0.0,0.0
1,21,0.0,0.0,0.0,0.0,0.0,8.958056620433031e-08
1,22,0.0,0.0,0.0,0.0,0.0,0.0
1,23,0.0,0.0,4.0697257073265176e-08,0.0,6.283952012007485e-08,0.0
1,24,0.0,0.0,0.0,0.0,0.0,0.0
1,25,0.0,0.0,0.0,0.0,0.0,0.0
1,26,0.0,0.0,0.0,0.0,0.0,2.0480964096778902e-07
1,27,0.0,0.0,0.0,0.0,0.0,4.548857517312521e-08
1,28,0.0,0.0,3.144546760563666e-08,0.0,0.0,0.0
1,29,0.0,0.0,0.0,0.0,5.6754042959680785e-08,0.0
1,30,0.0,0.0,0.0,0.0,0.0,7.269199394338423e-08
