mcsteps,xCOM,yCOM,il8,il1,il6,il10,tnf,tgf
50000,341,180,[1.5016581e-09],[0.],[0.],[0.],[0.],[0.]
50000,96,202,[1.5018097e-09],[4.0552452e-23],[1.9979229e-28],[1.8e-43],[0.],[1.8479017e-32]
50000,233,207,[1.4691452e-09],[0.],[0.],[0.],[0.],[0.]
50000,200,206,[1.4727224e-09],[0.],[0.],[0.],[0.],[0.]
50000,326,59,[1.4792604e-09],[1.0442781e-17],[0.],[0.],[1.0977499e-34],[1.2543097e-28]
50000,57,236,[1.4757228e-09],[1.4629833e-14],[1.5589247e-37],[0.],[1.5884608e-37],[8.1021446e-27]
50000,165,369,[1.4853679e-09],[9.0433535e-25],[0.],[0.],[0.],[0.]
50000,356,130,[1.788577e-09],[1.49753e-15],[0.],[0.],[2.0446703e-30],[0.]
50000,282,176,[1.5735865e-09],[0.],[0.],[0.],[0.],[0.]
50000,439,331,[2.28317e-09],[1.3495032e-17],[0.],[0.],[7.0548775e-38],[0.]
50000,221,275,[1.5143784e-09],[0.],[0.],[0.],[0.],[0.]
50000,239,178,[2.0313928e-09],[0.],[0.],[0.],[0.],[0.]
50000,156,145,[1.6954993e-09],[0.],[0.],[0.],[0.],[0.]
50000,274,270,[1.5008076e-09],[1.3344753e-20],[0.],[0.],[0.],[0.]
50000,201,157,[1.5295961e-09],[2.5574503e-23],[0.],[0.],[0.],[0.]
50000,442,317,[1.6093848e-09],[2.4633618e-13],[0.],[0.],[2.0150033e-21],[0.]
50000,142,318,[1.5238093e-09],[0.],[0.],[0.],[0.],[0.]
50000,323,160,[1.5040321e-09],[2.557479e-26],[0.],[0.],[0.],[0.]
50000,56,81,[2.6029483e-09],[8.7078705e-15],[0.],[0.],[1.3268203e-30],[3.8242204e-13]
50000,272,252,[1.4839887e-09],[3.6779478e-29],[0.],[0.],[0.],[0.]
50000,254,109,[1.8537171e-09],[0.],[0.],[0.],[0.],[0.]
50000,387,144,[1.4710662e-09],[0.],[0.],[0.],[0.],[0.]
50000,270,314,[1.4970808e-09],[0.],[0.],[0.],[0.],[0.]
50000,258,361,[1.7131224e-09],[0.],[0.],[0.],[0.],[0.]
50000,91,148,[1.5145092e-09],[1.1880359e-11],[3.9841736e-20],[1.6867968e-26],[1.2300349e-17],[0.]
50000,190,373,[1.5725462e-09],[1.162113e-13],[0.],[0.],[3.3838047e-23],[0.]
50000,126,228,[1.5647937e-09],[0.],[0.],[0.],[0.],[0.]
50000,236,392,[1.4918091e-09],[0.],[0.],[0.],[0.],[0.]
50000,76,141,[1.6916548e-09],[8.710791e-23],[2.1908614e-27],[4.34243e-40],[0.],[0.]
50000,362,154,[1.5733783e-09],[2.860877e-36],[0.],[0.],[0.],[0.]
50000,198,286,[1.4814494e-09],[0.],[0.],[0.],[0.],[0.]
50000,278,67,[1.512851e-09],[2.5383379e-14],[6.514007e-24],[1.325855e-34],[4.890258e-24],[2.6128127e-37]
50000,402,303,[1.4867805e-09],[4.5119007e-26],[0.],[0.],[0.],[0.]
