mcsteps,xCOM,yCOM,il8,il1,il6,il10,tnf,tgf
40000,18,35,[1.6835412e-06],[0.],[1.077202e-39],[0.],[0.],[7.98787e-30]
40000,25,24,[1.7368463e-06],[7.1081423e-17],[9.0523504e-29],[4.6892364e-35],[2.3440726e-24],[0.]
40000,31,19,[1.6786371e-06],[3.803935e-18],[0.],[0.],[5.356779e-29],[0.]
40000,38,26,[1.7400437e-06],[6.493585e-19],[0.],[0.],[2.8508559e-28],[0.]
40000,10,16,[1.6818062e-06],[7.108148e-17],[0.],[0.],[2.3440726e-24],[0.]
40000,27,40,[1.6786338e-06],[6.5238404e-10],[1.79534e-40],[0.],[1.01349745e-11],[2.471142e-19]
40000,41,12,[1.6802194e-06],[6.1272612e-21],[0.],[0.],[2.779919e-32],[0.]
40000,15,14,[1.6834214e-06],[3.6866368e-07],[0.],[0.],[4.1584633e-07],[0.]
40000,11,33,[1.7397798e-06],[0.],[0.],[0.],[0.],[0.]
40000,23,26,[1.6818033e-06],[6.902312e-25],[1.9009734e-27],[9.847394e-34],[2.0401264e-37],[0.]
40000,35,8,[1.6786339e-06],[1.4649073e-17],[0.],[0.],[5.356779e-29],[0.]
40000,24,27,[1.6818391e-06],[4.7634506e-24],[1.3831131e-21],[3.145616e-26],[7.9823916e-29],[1.1426099e-37]
40000,23,32,[1.6804432e-06],[3.5962843e-38],[1.5531223e-15],[1.4067485e-18],[5.036977e-20],[4.15635e-25]
40000,19,36,[1.6882394e-06],[0.],[1.508082e-39],[0.],[0.],[1.2468844e-24]
40000,42,41,[1.6787506e-06],[0.],[0.],[0.],[0.],[0.]
40000,41,37,[1.6804439e-06],[5.7e-44],[0.],[0.],[0.],[0.]
40000,32,38,[1.6819102e-06],[3.205397e-20],[0.],[0.],[0.],[7.669631e-29]
40000,18,37,[1.6849693e-06],[0.],[0.],[0.],[0.],[4.15635e-25]
40000,12,39,[1.6788576e-06],[0.],[0.],[0.],[0.],[0.]
40000,21,33,[1.6836111e-06],[0.],[2.4921108e-24],[8.598554e-30],[5.8378297e-33],[4.294606e-27]
40000,16,13,[1.6850796e-06],[2.3088916e-12],[0.],[0.],[4.940176e-16],[0.]
40000,11,15,[1.6833839e-06],[1.0665293e-16],[0.],[0.],[3.516109e-24],[0.]
40000,40,39,[1.6787887e-06],[0.],[0.],[0.],[0.],[0.]
40000,18,11,[1.6786793e-06],[2.2648043e-22],[0.],[0.],[0.],[0.]
40000,12,34,[1.6819134e-06],[0.],[0.],[0.],[0.],[0.]
40000,35,25,[1.6788649e-06],[7.108344e-17],[0.],[0.],[2.3440726e-24],[0.]
40000,18,24,[1.6802195e-06],[3.1986027e-20],[0.],[0.],[0.],[0.]
40000,42,29,[1.6786379e-06],[5.421667e-21],[0.],[0.],[3.2247525e-32],[0.]
40000,39,12,[1.6802567e-06],[7.688544e-26],[0.],[0.],[2.8921e-41],[0.]
40000,36,27,[1.6788699e-06],[1.8868357e-19],[0.],[0.],[5.356779e-29],[0.]
40000,33,13,[1.6786342e-06],[2.9083736e-24],[0.],[0.],[4.4605043e-38],[0.]
40000,27,23,[1.6851129e-06],[1.2827417e-09],[4.074937e-37],[0.],[2.0230042e-11],[0.]
40000,41,35,[1.7397854e-06],[1.4110926e-38],[0.],[0.],[0.],[0.]
40000,23,37,[1.6787088e-06],[1.6986032e-22],[1.2788641e-30],[9.455413e-38],[4.048e-42],[6.63814e-12]
40000,38,29,[1.6818445e-06],[1.1016614e-26],[0.],[0.],[4.131e-42],[0.]
