mcsteps,xCOM,yCOM,il8,il1,il6,il10,tnf,tgf
70000,18,35,[2.5200911e-06],[5.6836567e-31],[1.9823598e-37],[0.],[0.],[1.3287771e-17]
70000,25,24,[2.6322682e-06],[1.1554058e-12],[2.4544024e-27],[1.6879588e-33],[2.4700884e-16],[7.e-45]
70000,31,19,[2.5048416e-06],[1.2419611e-16],[0.],[0.],[4.9621015e-24],[9.001531e-30]
70000,38,26,[2.6421192e-06],[7.406551e-18],[1.4361706e-33],[9.815e-42],[4.2675672e-27],[1.0946527e-17]
70000,10,16,[2.5145869e-06],[9.600768e-16],[8.170038e-39],[0.],[4.018163e-23],[4.249e-42]
70000,27,40,[2.5048234e-06],[2.479666e-09],[3.3159752e-38],[0.],[4.0300926e-11],[5.088772e-18]
70000,41,12,[2.509702e-06],[3.160468e-16],[0.],[0.],[1.228019e-23],[0.]
70000,15,14,[2.519579e-06],[3.5031624e-07],[3.0375742e-24],[1.112449e-29],[4.1339501e-07],[0.]
70000,11,33,[2.6410091e-06],[1.0821e-41],[2.343e-42],[0.],[0.],[1.1063815e-18]
70000,23,26,[2.514571e-06],[1.8540563e-22],[5.1541152e-26],[3.5447114e-32],[9.136461e-36],[2.329093e-39]
70000,35,8,[2.5048241e-06],[6.613369e-15],[0.],[0.],[1.80802e-20],[1.3287771e-17]
70000,24,27,[2.5147187e-06],[2.168505e-21],[1.6079234e-20],[4.184594e-25],[1.1949226e-27],[5.689626e-35]
70000,23,32,[2.5106397e-06],[6.7011223e-12],[8.432484e-15],[7.676136e-18],[1.4765214e-15],[2.2076566e-23]
70000,19,36,[2.5344525e-06],[1.6990547e-22],[2.7753014e-37],[0.],[0.],[1.3241172e-21]
70000,42,41,[2.5053191e-06],[2.9026015e-24],[6.276902e-16],[5.675913e-19],[2.0187674e-20],[0.]
70000,41,37,[2.5106433e-06],[7.469666e-17],[5.636759e-28],[2.5559286e-34],[2.3440755e-24],[0.]
70000,32,38,[2.5150116e-06],[1.6545333e-17],[2.634766e-21],[5.5936444e-26],[1.1380569e-27],[7.071351e-27]
70000,18,37,[2.5242987e-06],[3.9644607e-22],[3.59e-43],[0.],[0.],[3.1667404e-21]
70000,12,39,[2.505761e-06],[1.8415145e-22],[1.e-45],[0.],[6.227153e-37],[5.751381e-22]
70000,21,33,[2.5203785e-06],[4.264484e-18],[4.402382e-23],[1.8762709e-28],[2.8523492e-28],[3.9590074e-25]
70000,16,13,[2.5247584e-06],[2.1939428e-11],[7.593914e-24],[2.7811223e-29],[4.911055e-15],[0.]
70000,11,15,[2.5194208e-06],[1.4237053e-15],[8.870218e-33],[1.00354e-40],[6.027332e-23],[6.372e-42]
70000,40,39,[2.5054808e-06],[6.397691e-20],[3.1757776e-27],[1.3705156e-33],[3.857665e-37],[0.]
70000,18,11,[2.5050253e-06],[1.8379929e-20],[7.593914e-24],[2.7811223e-29],[1.3145518e-31],[0.]
70000,12,34,[2.5150293e-06],[8.918299e-37],[7.03e-43],[0.],[0.],[2.0576423e-14]
70000,35,25,[2.5058014e-06],[3.4058774e-12],[8.0498305e-29],[3.6513268e-35],[7.3956755e-16],[2.0575992e-14]
70000,18,24,[2.5097027e-06],[1.7020811e-18],[0.],[0.],[8.712408e-28],[4.145477e-20]
70000,42,29,[2.5048462e-06],[5.667243e-20],[7.771883e-37],[0.],[4.4144063e-31],[5.177708e-15]
70000,39,12,[2.509858e-06],[6.71474e-12],[0.],[0.],[1.4762828e-15],[0.]
70000,36,27,[2.5058296e-06],[4.2724065e-18],[9.173108e-25],[2.8979116e-30],[2.240177e-27],[1.3291916e-17]
70000,33,13,[2.5048264e-06],[3.778976e-19],[0.],[0.],[1.0713578e-28],[3.1596985e-36]
70000,27,23,[2.5248926e-06],[3.6997272e-09],[4.2149416e-35],[1.11e-43],[6.041195e-11],[7.1445354e-32]
70000,41,35,[2.6410405e-06],[7.1081576e-17],[5.634854e-28],[2.5559286e-34],[2.3440755e-24],[0.]
70000,23,37,[2.5051388e-06],[7.770979e-20],[5.3237446e-29],[5.826244e-36],[8.061947e-32],[3.2547506e-11]
70000,38,29,[2.5147492e-06],[6.3452614e-25],[3.0576957e-24],[9.659705e-30],[7.783792e-33],[4.145477e-20]
70000,11,10,[2.5147017e-06],[3.7437093e-25],[3.6167016e-18],[5.4573317e-22],[5.5551684e-24],[6.5542664e-29]
70000,11,37,[2.505332e-06],[5.6836553e-31],[5.330791e-37],[1.e-45],[0.],[1.1063815e-18]
70000,36,22,[2.6313037e-06],[1.0508682e-13],[2.398e-41],[0.],[3.338189e-19],[1.4277228e-09]
70000,39,25,[2.6416378e-06],[1.05096385e-13],[7.19397e-40],[0.],[3.338189e-19],[1.6296234e-17]
70000,19,20,[2.7579226e-06],[1.0970194e-11],[0.],[0.],[2.4555276e-15],[0.]
70000,29,8,[2.505323e-06],[2.0890154e-13],[0.],[0.],[6.51198e-19],[1.5517769e-32]
70000,13,24,[2.5049808e-06],[6.5329993e-24],[0.],[0.],[4.958152e-37],[0.]
70000,23,34,[2.510485e-06],[6.4431484e-15],[3.215835e-20],[8.369187e-25],[1.8072641e-20],[2.5444632e-18]
70000,20,37,[2.5197614e-06],[1.4460394e-17],[2.7753014e-37],[0.],[3.e-45],[4.214924e-17]
70000,28,29,[2.5101697e-06],[1.6112774e-17],[3.215835e-20],[8.369187e-25],[1.14951455e-26],[1.2808059e-37]
70000,28,31,[2.5097322e-06],[2.0971506e-16],[2.810855e-15],[2.5587128e-18],[9.347748e-20],[1.8768774e-32]
70000,39,28,[2.5200814e-06],[4.811485e-21],[2.7254162e-30],[1.5778022e-37],[3.5480613e-32],[5.177708e-15]
70000,33,37,[2.5146999e-06],[6.293142e-14],[1.5531223e-15],[1.406749e-18],[2.4216048e-19],[2.9859515e-31]
70000,34,18,[2.5053364e-06],[3.047343e-09],[0.],[0.],[5.0276977e-11],[1.0400913e-24]
70000,17,32,[2.631774e-06],[1.3732837e-27],[1.2387887e-32],[2.11845e-40],[5.2e-43],[7.668016e-22]
70000,36,16,[2.6313119e-06],[2.598328e-13],[0.],[0.],[8.0704554e-19],[4.9531374e-26]
70000,19,19,[2.6458881e-06],[1.1647133e-13],[0.],[0.],[3.5907556e-19],[0.]
70000,27,27,[2.5054737e-06],[3.772545e-15],[4.402382e-23],[1.8762709e-28],[6.094815e-21],[1.07939e-40]
70000,33,40,[2.5054494e-06],[6.1464586e-15],[2.6370593e-21],[5.594369e-26],[1.8060944e-20],[4.145477e-20]
70000,20,20,[2.6410241e-06],[3.8826615e-14],[0.],[0.],[1.1969186e-19],[0.]
70000,39,26,[2.7626782e-06],[4.1855723e-16],[1.36007894e-36],[1.e-45],[1.8161727e-23],[5.1777087e-15]
70000,8,18,[2.50485e-06],[1.4507032e-17],[0.],[0.],[3.179085e-31],[7.72e-43]
70000,22,14,[2.5048419e-06],[1.9069838e-17],[6.e-45],[0.],[5.865891e-25],[0.]
70000,17,14,[2.5199088e-06],[1.0970194e-11],[1.0779372e-29],[8.7443e-37],[2.4555276e-15],[0.]
70000,12,9,[2.514545e-06],[2.9870001e-25],[1.0163137e-12],[5.389842e-15],[6.875477e-16],[2.809011e-29]
70000,8,8,[2.5048253e-06],[1.3272555e-18],[2.2756085e-27],[1.2653808e-33],[5.703847e-28],[1.5840985e-16]
70000,41,33,[2.5101745e-06],[1.5581935e-21],[5.634854e-28],[2.5559286e-34],[3.4826823e-33],[0.]
70000,16,21,[2.504844e-06],[2.1939428e-11],[0.],[0.],[4.911055e-15],[0.]
70000,30,10,[2.6322227e-06],[9.490565e-16],[0.],[0.],[4.0183385e-23],[2.654147e-35]
70000,29,12,[2.5053237e-06],[2.114409e-15],[0.],[0.],[6.0224637e-21],[0.]
70000,11,13,[2.5098768e-06],[1.7354047e-18],[1.1377991e-26],[6.326904e-33],[8.714679e-28],[1.7115982e-36]
70000,25,19,[2.5057786e-06],[6.830047e-22],[3.64e-43],[0.],[1.0621319e-33],[0.]
70000,39,9,[2.5049824e-06],[1.4592288e-17],[0.],[0.],[5.7022055e-29],[9.001531e-30]
70000,19,17,[2.5147547e-06],[3.4063519e-18],[6.e-45],[0.],[1.7424969e-27],[0.]
70000,7,27,[2.5048234e-06],[7.028e-40],[0.],[0.],[0.],[7.02276e-30]
70000,10,40,[2.5053098e-06],[9.610864e-26],[5.273e-42],[0.],[3.6152e-41],[6.403634e-24]
70000,13,27,[2.5049808e-06],[1.1076351e-31],[0.],[0.],[0.],[1.7259371e-15]
70000,27,20,[2.5059194e-06],[9.492295e-16],[1.7e-44],[0.],[4.018163e-23],[0.]
70000,22,7,[2.6312853e-06],[4.6748444e-21],[2.3988461e-36],[4.e-45],[2.085462e-32],[0.]
70000,22,8,[2.6312853e-06],[1.2984331e-18],[9.503858e-34],[1.0752e-41],[5.701718e-28],[0.]
70000,20,34,[2.5158422e-06],[8.2208167e-23],[1.0647462e-28],[1.16524874e-35],[6.234239e-37],[1.1465327e-24]
70000,40,42,[2.5054494e-06],[1.1233806e-29],[5.2339176e-19],[7.304748e-23],[7.371317e-25],[0.]
70000,40,23,[2.505316e-06],[4.453479e-11],[0.],[0.],[1.0272647e-14],[1.3308498e-17]
70000,11,32,[2.6317548e-06],[4.8e-44],[3.e-45],[0.],[0.],[4.192864e-21]
70000,26,22,[2.5203751e-06],[2.0651537e-13],[9.3666115e-36],[2.5e-44],[6.4520553e-19],[6.3193973e-37]
70000,19,15,[2.510194e-06],[1.7021291e-18],[1.1438048e-38],[0.],[8.712408e-28],[0.]
70000,35,16,[2.6317553e-06],[1.6178203e-11],[0.],[0.],[3.6760396e-15],[4.9143425e-28]
70000,18,32,[2.6315226e-06],[6.784976e-25],[1.52108e-29],[1.6646414e-36],[2.9754345e-38],[1.7334765e-24]
70000,36,23,[2.6317653e-06],[1.6741343e-15],[6.476589e-38],[0.],[7.264718e-23],[4.606048e-07]
70000,33,29,[2.5048248e-06],[4.01049e-14],[2.634766e-21],[5.5936444e-26],[1.197449e-19],[6.0010345e-30]
70000,21,31,[2.5102065e-06],[6.4940285e-19],[3.1886076e-18],[4.967289e-22],[5.085568e-24],[3.5828094e-30]
70000,26,24,[2.6459024e-06],[6.525844e-10],[1.52108e-29],[1.6646414e-36],[1.0134975e-11],[6.3193973e-37]
70000,40,35,[2.6322273e-06],[2.5311833e-19],[9.173131e-25],[2.8979118e-30],[5.3571264e-29],[0.]
70000,28,35,[2.5048544e-06],[1.7776025e-18],[8.590205e-26],[5.9078536e-32],[8.713009e-28],[1.1037558e-22]
70000,15,31,[2.5053105e-06],[9.0205594e-35],[9.3668475e-37],[3.e-45],[0.],[1.4428557e-19]
70000,15,11,[2.5056095e-06],[3.8826615e-14],[3.0743696e-15],[2.7892847e-18],[2.20233e-19],[2.124e-42]
70000,23,18,[2.505295e-06],[4.997812e-24],[0.],[0.],[7.444723e-38],[0.]
70000,18,26,[2.5097008e-06],[1.5864386e-23],[2.8842e-40],[0.],[1.0355197e-36],[5.177708e-15]
70000,30,33,[2.5048764e-06],[9.618463e-16],[9.688542e-25],[2.9333589e-30],[3.9679773e-23],[2.6276084e-32]
70000,31,10,[2.6313394e-06],[6.728276e-14],[0.],[0.],[2.0906825e-19],[1.5517769e-32]
70000,15,13,[2.5827535e-07],[2.479666e-09],[3.5838476e-21],[8.486612e-26],[4.0300926e-11],[0.]
70000,40,20,[1.5723718e-10],[1.4696737e-12],[0.],[0.],[2.4801027e-16],[1.7334765e-24]
70000,9,37,[4.8961564e-09],[1.0701391e-35],[1.5399183e-30],[1.2491857e-37],[8.078e-42],[5.1105286e-14]
70000,35,49,[6.5424433e-22],[3.6931607e-07],[4.1218629e-10],[1.27192345e-11],[4.1586213e-07],[0.]
70000,49,9,[2.0690037e-21],[2.258291e-11],[0.],[0.],[5.1373247e-15],[0.]
