mcsteps,xCOM,yCOM,zCOM,il8,il1,il6,il10,tnf,tgf
550000,8,8,0,1.5068764e-05,3.1679457e-12,1.7655955e-14,2.944594e-18,1.0039469e-17,5.6640972e-12
550000,25,29,0,1.0510198e-05,6.629293e-08,0.0,0.0,1.9588713e-09,1.5251989e-34
550000,16,8,0,1.549082e-05,8.015897e-09,1.8577383e-17,5.215755e-22,3.459038e-12,3.3929179e-12
550000,12,8,0,1.2400045e-05,5.4869833e-08,3.62813e-15,5.8897814e-19,1.1982444e-09,1.019075e-10
550000,32,30,0,1.17180025e-05,8.02989e-09,8.407179e-38,0.0,3.080865e-12,1.0847406e-25
550000,25,24,0,1.24955595e-05,1.5523087e-08,0.0,0.0,6.786261e-12,1.5686e-41
550000,18,42,0,8.3791465e-06,1.4828605e-08,3.9368535e-09,1.2616687e-10,3.837221e-10,5.1860127e-07
550000,7,24,0,1.2880269e-05,4.0536077e-12,4.8531392e-15,7.863023e-19,2.865879e-19,2.966117e-12
550000,20,25,0,9.980564e-06,3.144989e-08,0.0,0.0,9.035025e-10,1.2143212e-38
550000,15,27,0,1.3764251e-05,1.0462611e-10,3.0944327e-32,2.2048e-41,4.991066e-16,9.768389e-27
550000,13,17,0,1.3131577e-05,1.7761765e-08,2.7302737e-25,6.717973e-33,7.1984163e-12,5.811472e-22
550000,33,8,0,1.2829639e-05,6.996898e-10,2.0809539e-23,2.820407e-30,3.1908205e-13,3.4254146e-08
550000,19,16,0,1.56448e-05,2.5553321e-08,3.4324843e-35,1e-45,1.0318935e-11,1.6837136e-23
550000,42,22,0,1.0369116e-05,5.3935756e-10,7.028715e-22,3.0439267e-27,2.1510838e-13,4.3453727e-07
550000,24,39,0,1.1162237e-05,1.5439158e-08,1.719336e-24,4.3146555e-32,5.011643e-10,2.9336893e-13
550000,36,18,0,9.936873e-06,5.339496e-10,4.5396832e-30,9.572487e-38,2.8537188e-15,5.8544393e-15
550000,31,28,0,1.1175117e-05,1.0889375e-07,1.1111689e-37,0.0,3.0370706e-09,3.986975e-31
550000,31,38,0,1.1805365e-05,1.514579e-11,2.1019185e-23,2.9822467e-30,1.7084357e-18,1.1102831e-15
550000,31,30,0,1.0992346e-05,1.09746765e-07,1.80976e-40,0.0,3.0374994e-09,6.384273e-28
550000,12,18,0,1.2336735e-05,9.027167e-09,6.3732314e-25,1.5676484e-32,3.6000098e-12,6.550755e-19
550000,37,15,0,1.0464871e-05,1.01878086e-07,6.748024e-25,5.147646e-31,2.6569522e-09,2.0173388e-15
550000,7,40,0,8.473029e-06,3.9450615e-10,1.2482171e-12,6.526616e-15,1.3854324e-13,2.943293e-08
550000,24,11,0,1.0072705e-05,1.3437303e-08,1.2510856e-24,1.1331666e-31,5.4210443e-12,1.7065443e-16
550000,15,35,0,1.4004672e-05,2.2219155e-09,1.3709819e-26,3.1359864e-34,1.3387254e-14,4.7292614e-14
550000,39,21,0,1.2559006e-05,9.750633e-09,1.5967127e-29,3.3508338e-37,3.820356e-12,2.4466277e-13
550000,17,27,0,1.4032189e-05,1.00352324e-10,1.7829439e-37,0.0,4.833539e-16,1.0608571e-30
550000,41,39,0,1.3767472e-05,1.246829e-11,3.0906273e-15,2.7896832e-18,1.150082e-18,1.0999237e-09
550000,30,38,0,1.4311141e-05,4.8690194e-11,7.236864e-22,5.805335e-28,4.052958e-15,3.1444845e-15
550000,8,22,0,1.42048675e-05,6.08577e-14,1.9441802e-13,1.8417207e-16,7.896322e-18,2.0886348e-13
550000,35,31,0,1.3964187e-05,9.178732e-09,1.3395195e-28,5.513021e-37,3.083729e-12,5.981479e-18
550000,7,8,0,1.156109e-05,4.469403e-12,2.024803e-12,1.9703185e-15,9.617431e-17,1.6793816e-10
550000,19,36,0,1.4806169e-05,8.868763e-09,1.6487915e-25,1.3623925e-32,3.59901e-12,1.8798465e-14
550000,40,9,0,1.3043164e-05,5.507653e-08,2.1303428e-17,5.877707e-22,1.5532635e-09,2.663975e-08
550000,23,31,0,1.2907221e-05,2.788939e-07,3.449e-42,0.0,8.436853e-09,5.9812884e-29
550000,40,39,0,1.569955e-05,2.0046316e-10,3.682508e-18,5.459788e-22,1.2837708e-15,2.6025893e-11
550000,36,26,0,1.5532249e-05,1.1638535e-08,3.6405026e-28,1.5483124e-36,4.7713643e-12,6.058296e-20
550000,36,40,0,1.06733e-05,4.875211e-10,4.977203e-22,3.749382e-28,2.8000919e-15,1.1294103e-12
550000,41,14,0,1.08552185e-05,9.785391e-10,1.9553291e-16,3.062815e-20,5.722735e-15,2.0420522e-08
550000,14,14,0,1.40821485e-05,2.2408338e-07,6.826747e-26,1.6795008e-33,6.7528396e-09,9.391098e-21
550000,25,19,0,1.2364373e-05,1.9402276e-07,0.0,0.0,5.100238e-09,1.28668895e-33
550000,27,27,0,1.500396e-05,9.851713e-10,0.0,0.0,6.039769e-15,1.3748913e-37
550000,38,31,0,1.4455976e-05,1.6822197e-07,2.9900196e-21,2.4667592e-27,4.0408343e-09,5.888855e-12
550000,29,33,0,1.4088321e-05,6.3024956e-08,1.1448829e-33,1.39e-43,1.4882081e-09,1.921397e-24
550000,36,10,0,1.44054175e-05,7.8247625e-12,1.63697e-23,4.1324547e-30,5.972506e-19,9.994783e-14
550000,31,17,0,1.4850813e-05,3.7942646e-10,2.965e-42,0.0,2.1474464e-15,8.906722e-28
550000,19,34,0,1.1339588e-05,4.2947703e-09,1.1920966e-30,1.877911e-39,1.6808486e-12,2.6645316e-18
550000,39,24,0,1.4112763e-05,1.0625069e-08,3.7714119e-25,1.03094344e-32,4.233317e-12,1.5179812e-12
550000,35,8,0,1.2711035e-05,8.478007e-13,1.4906651e-20,9.437848e-26,7.06825e-20,9.6106e-10
550000,22,19,0,1.3363064e-05,6.2734022e-09,2.6405e-41,0.0,2.8501496e-12,4.1824195e-34
550000,33,18,0,1.3225633e-05,9.038792e-10,7.786358e-39,0.0,5.31386e-15,7.099479e-22
550000,28,24,0,1.3678598e-05,8.2493934e-10,0.0,0.0,4.945942e-15,8.41843e-35
550000,42,8,0,1.0426281e-05,1.9062215e-07,7.142679e-15,1.1553122e-18,3.8361955e-07,4.4811176e-07
550000,12,40,0,1.0826844e-05,1.2475435e-09,2.0254442e-14,3.3822543e-18,4.615663e-13,9.74838e-11
550000,24,8,0,1.567766e-05,9.823041e-09,1.7399245e-17,4.319707e-22,3.3012761e-12,1.1191409e-10
550000,20,34,0,1.1443677e-05,4.127333e-10,2.7544057e-29,1.1599198e-37,2.3349232e-15,1.2089623e-19
550000,32,7,0,1.24313e-05,1.4059401e-09,6.821657e-19,3.2651452e-24,6.38227e-13,3.451048e-08
550000,35,17,0,1.1146455e-05,2.5772264e-08,1.1348167e-30,2.3931213e-38,1.1063504e-11,1.3948606e-18
550000,9,38,0,1.25807765e-05,5.832113e-14,3.224536e-18,2.348505e-22,1.7491077e-21,4.1322557e-12
550000,32,41,0,1.3428072e-05,2.5782133e-11,2.4213516e-18,1.1885854e-23,9.887876e-16,1.7976469e-09
550000,25,15,0,1.553688e-05,9.503557e-13,1.8531327e-36,0.0,1.1472782e-21,8.6659794e-24
550000,12,32,0,1.205438e-05,2.900777e-09,3.2398475e-29,1.0474721e-37,9.288079e-13,3.5071035e-15
550000,39,42,0,1.3594102e-05,7.7626466e-10,1.0889109e-16,3.0787658e-21,3.2216385e-13,8.2873625e-10
550000,34,25,0,1.23372865e-05,8.559513e-10,3.1775237e-35,0.0,1.1750221e-13,2.1250269e-23
550000,10,33,0,1.1455077e-05,1.576772e-10,6.2458176e-23,8.9082566e-30,7.939843e-16,1.0296491e-12
550000,10,21,0,1.3871504e-05,1.3999265e-13,5.0671882e-20,2.3331957e-25,2.5205488e-19,2.947481e-16
550000,33,35,0,1.3801543e-05,2.456395e-11,2.5847758e-33,2.97e-43,2.0271856e-18,6.662977e-19
550000,28,8,0,1.013521e-05,1.4380159e-09,4.238934e-17,1.1813079e-21,1.436369e-13,2.2970095e-09
550000,39,23,0,1.4712616e-05,1.2587385e-07,2.2536624e-27,3.3494374e-35,3.7626915e-09,1.8893078e-11
550000,38,10,0,1.2258073e-05,2.1301894e-09,1.3461894e-20,6.405861e-26,8.051474e-13,5.7264536e-12
550000,8,9,0,1.4619724e-05,2.8367371e-12,1.9395437e-15,2.8059928e-19,1.777637e-19,2.6828806e-12
550000,36,34,0,1.0295319e-05,1.8933667e-07,3.4415394e-24,4.857757e-31,5.8719314e-09,4.7202797e-18
550000,25,17,0,1.4000173e-05,5.546419e-10,1.1258e-41,0.0,3.2977902e-15,1.1995652e-28
550000,39,36,0,1.3998896e-05,4.3511367e-08,2.5655132e-17,7.3489383e-22,1.4544715e-09,3.4202142e-12
550000,17,38,0,9.913857e-06,2.4230934e-07,1.5257041e-20,7.140332e-26,6.7991364e-09,2.030419e-08
550000,8,7,0,1.2657259e-05,5.4706005e-12,6.7359204e-13,6.56522e-16,3.236254e-17,1.1955383e-10
550000,22,8,0,1.2829467e-05,1.0770342e-08,2.0136175e-14,3.3788529e-18,1.518891e-10,4.6395956e-12
550000,29,14,0,1.5887837e-05,1.0504214e-11,5.9660848e-31,2.41799e-39,9.08699e-19,1.9526748e-22
550000,28,12,0,1.3231093e-05,3.6688163e-11,4.0278945e-27,9.5642175e-35,2.8896591e-18,2.4509374e-18
550000,13,35,0,1.1615388e-05,1.430942e-07,2.015627e-24,2.8421004e-31,4.474793e-09,4.671631e-14
550000,26,26,0,1.3156294e-05,1.728553e-07,0.0,0.0,5.4696234e-09,1.57568e-40
550000,17,8,0,1.5092826e-05,1.842202e-07,3.6929766e-16,5.91969e-20,5.761611e-09,1.318977e-10
550000,40,23,0,1.3181056e-05,5.131983e-09,5.348613e-25,1.2722205e-31,2.1153999e-12,8.17779e-10
550000,29,38,0,1.3985353e-05,6.047226e-10,2.97818e-21,2.4790607e-27,1.3864322e-13,1.6664265e-14
550000,31,23,0,1.5567342e-05,3.8908959e-13,0.0,0.0,3.7398073e-22,3.3516373e-27
550000,25,18,0,1.4705447e-05,1.11032685e-08,2.7e-44,0.0,4.5358227e-12,4.04042e-31
550000,41,31,0,1.0998049e-05,3.973338e-09,1.4431092e-14,2.3736649e-18,1.2400401e-12,3.9048967e-07
550000,21,41,0,1.1816436e-05,3.9183314e-09,2.2940962e-14,3.857876e-18,1.7496803e-12,2.0964674e-09
550000,17,34,0,1.2535628e-05,8.263012e-09,3.2255988e-31,1.249025e-39,3.5952805e-12,9.593023e-16
550000,42,27,0,1.16187175e-05,1.5356449e-07,1.0153533e-11,4.705448e-14,4.5050865e-09,1.2669598e-09
550000,27,35,0,1.5650014e-05,6.322542e-08,1.3919444e-28,5.8209257e-37,9.1720886e-10,2.5630259e-20
550000,18,13,0,1.4627724e-05,7.8045815e-08,1.3775166e-29,1.0910941e-38,1.3182898e-09,1.7796636e-18
550000,40,41,0,1.4233965e-05,2.1586864e-11,5.707739e-18,5.5584376e-22,9.8056895e-17,1.5668894e-09
550000,37,8,0,1.2958878e-05,5.3673765e-13,2.7928523e-17,8.015067e-22,2.0109237e-20,2.1819197e-11
550000,20,7,0,9.377352e-06,1.997283e-09,3.0303028e-12,2.9748902e-15,5.763019e-13,4.5051726e-07
550000,33,21,0,1.4529276e-05,3.1125335e-12,0.0,0.0,2.6333615e-19,2.3226067e-25
550000,28,38,0,1.502647e-05,4.1798787e-09,1.06699236e-19,5.2208826e-25,1.3084767e-12,2.3486578e-13
550000,13,16,0,1.3595437e-05,1.5911668e-08,1.8054855e-23,2.5980323e-30,6.2426145e-12,1.5029814e-21
550000,17,35,0,1.3375113e-05,1.8500272e-07,1.7396e-28,3.9951935e-36,5.8701346e-09,9.1162206e-14
550000,37,12,0,1.0379775e-05,6.086346e-08,1.4548036e-26,3.4736423e-34,1.6645326e-09,1.4408422e-16
550000,28,26,0,1.40200345e-05,6.995138e-10,0.0,0.0,4.279739e-15,1.5349921e-37
550000,20,17,0,1.5945938e-05,5.438633e-09,5.0914374e-36,0.0,2.2480325e-12,8.898768e-27
550000,7,28,0,1.24888065e-05,2.167381e-11,1.847957e-14,4.6157447e-18,8.4496215e-17,2.5031882e-10
550000,27,21,0,1.15552875e-05,1.4786202e-07,0.0,0.0,4.0322417e-09,4.1725254e-38
550000,30,18,0,1.4403852e-05,6.900052e-08,1.95e-43,0.0,1.3298397e-09,3.87818e-29
550000,29,35,0,1.492589e-05,2.109654e-08,1.400685e-28,5.82722e-37,3.2550954e-10,2.5765857e-20
550000,17,29,0,1.44125615e-05,8.6132423e-10,8.5467e-41,0.0,4.9148566e-15,1.9588717e-26
550000,32,17,0,1.5460844e-05,4.2684913e-09,1.414671e-39,0.0,1.5453614e-12,1.6006844e-25
550000,13,37,0,1.3155324e-05,1.5664054e-07,1.3255829e-19,6.4605687e-25,4.94317e-09,3.0712433e-10
550000,35,30,0,1.5207389e-05,9.5955514e-08,5.9455974e-30,1.67244e-38,2.2323574e-09,3.1630425e-19
550000,16,24,0,9.07893e-06,2.7812696e-12,8.2269913e-38,0.0,1.2253848e-18,1.4252541e-30
550000,25,36,0,1.5867123e-05,2.0277247e-09,6.208522e-30,4.434597e-39,2.9305416e-13,2.3368832e-19
550000,16,29,0,1.279793e-05,7.719821e-09,3.5592866e-38,0.0,2.9383746e-12,3.770943e-27
550000,33,29,0,1.3391499e-05,1.151208e-08,5.9359126e-34,7.1e-44,4.459802e-12,4.8845685e-25
550000,16,26,0,1.3932352e-05,3.0609723e-12,2.3167317e-36,0.0,2.46201e-19,1.6298837e-28
550000,39,9,0,1.3487807e-05,4.1342942e-09,8.370227e-20,3.868101e-25,1.6099421e-12,9.687314e-10
550000,17,9,0,1.6946598e-05,1.5936136e-08,1.0432428e-18,2.8581863e-23,6.917755e-12,1.8929851e-12
550000,12,38,0,1.3177796e-05,7.2146694e-10,7.915743e-19,3.8734333e-24,4.3436455e-15,1.5365649e-10
550000,19,23,0,1.14958e-05,8.6416113e-10,3.5e-44,0.0,3.4284159e-13,2.2635493e-36
550000,33,37,0,1.319244e-05,4.9241294e-10,1.3471307e-29,9.649303e-39,2.8005395e-15,4.9617797e-15
550000,14,17,0,1.1570831e-05,2.0178742e-07,1.0494781e-27,4.413436e-36,5.8767657e-09,5.1974917e-24
550000,9,18,0,1.1663832e-05,4.277226e-10,2.910889e-18,1.4300109e-23,1.3771921e-13,3.3520452e-13
550000,20,36,0,1.1885061e-05,3.1184072e-10,2.5793135e-24,3.7157854e-31,1.5105506e-15,8.5122073e-16
550000,22,21,0,9.075472e-06,4.4268884e-08,0.0,0.0,8.8538765e-10,1.5516703e-38
550000,35,23,0,1.0093845e-05,1.6088497e-10,4.7226736e-37,0.0,8.1408723e-16,6.5498865e-19
550000,27,18,0,1.33704425e-05,9.707338e-09,3.387e-42,0.0,4.161465e-12,4.3090585e-31
550000,37,29,0,1.2476549e-05,1.9306441e-07,7.689773e-24,1.0936142e-30,5.377836e-09,9.146356e-17
550000,27,40,0,1.5247543e-05,7.2163706e-11,1.175309e-16,3.363115e-21,4.752753e-16,4.4623596e-11
550000,7,17,0,1.4254037e-05,2.5928166e-11,2.3251223e-12,2.2845527e-15,2.3429098e-16,8.099761e-11
550000,32,23,0,1.5680329e-05,3.0823166e-13,1e-44,0.0,3.5761948e-22,4.4882867e-25
550000,39,29,0,1.659941e-05,4.5782094e-09,4.614343e-19,2.2425773e-24,1.2262585e-12,4.6145076e-13
550000,37,33,0,1.12056505e-05,3.008275e-07,4.2016174e-20,2.0287909e-25,8.536749e-09,1.7942185e-16
550000,29,26,0,1.3621642e-05,2.24579e-11,0.0,0.0,1.8495535e-18,2.4597687e-35
550000,21,23,0,1.1147979e-05,7.2093215e-08,0.0,0.0,2.049398e-09,7.6962e-41
550000,13,9,0,1.2801051e-05,1.5245194e-08,1.8733569e-19,8.925962e-25,5.01482e-10,2.6824638e-11
550000,23,18,0,1.1748729e-05,8.294389e-09,1.84805e-40,0.0,3.8191477e-12,1.4059406e-33
550000,10,35,0,1.3453512e-05,1.2633308e-10,5.1494904e-19,2.5122238e-24,2.883585e-14,1.4255874e-15
550000,7,16,0,1.1417578e-05,4.0540013e-10,1.7082372e-10,9.810101e-13,3.1013053e-13,4.0552756e-10
550000,14,11,0,1.2556342e-05,7.342573e-10,2.2174293e-26,5.248516e-34,1.5151453e-13,7.684031e-16
550000,41,28,0,1.4850128e-05,3.0879502e-07,5.7519874e-13,5.5930713e-16,8.076426e-09,1.2461889e-11
550000,35,11,0,1.2663625e-05,1.6986879e-11,8.926665e-28,3.8649453e-36,1.3378585e-18,5.7438825e-15
550000,19,8,0,1.1700616e-05,1.8486446e-07,4.4372218e-16,1.2754687e-20,5.761897e-09,2.1329678e-08
