mcsteps,xCOM,yCOM,zCOM,il8,il1,il6,il10,tnf,tgf
340000,8,8,0,1.059344e-05,1.9383116e-14,2.5406012e-15,4.10152e-19,4.9168815e-21,5.145318e-13
340000,20,16,0,1.0850573e-05,3.2725254e-08,9.000248e-36,1e-45,5.948663e-10,1.2041766e-27
340000,25,29,0,7.952077e-06,5.3529035e-08,0.0,0.0,1.2392604e-09,1.7878429e-38
340000,16,8,0,1.0846083e-05,3.6758838e-09,7.13009e-19,1.9487758e-23,1.1722875e-12,4.4992327e-14
340000,12,8,0,8.833158e-06,1.346524e-08,6.945656e-17,1.0874024e-20,3.2315275e-10,1.990607e-11
340000,32,30,0,8.543214e-06,2.7240417e-09,5.0605e-41,0.0,7.709109e-13,2.6041548e-30
340000,25,24,0,8.810306e-06,7.3776865e-09,0.0,0.0,2.390532e-12,1e-45
340000,18,42,0,6.745943e-06,4.8203863e-09,6.110169e-10,1.8909757e-11,8.849887e-11,4.808921e-07
340000,7,24,0,9.350565e-06,4.552872e-13,7.296318e-17,1.1383962e-20,2.3438271e-20,1.2670197e-13
340000,20,25,0,7.393567e-06,2.3987583e-08,0.0,0.0,5.371737e-10,6.17e-43
340000,15,27,0,9.780187e-06,1.6878575e-11,1.4344771e-34,9.7e-44,5.972611e-17,2.9466307e-29
340000,13,17,0,9.406673e-06,8.054815e-09,4.8554408e-27,1.147259e-34,2.5115758e-12,2.9584593e-24
340000,33,8,0,9.29511e-06,3.6202188e-10,6.67282e-26,7.335608e-33,1.2269419e-13,6.255879e-09
340000,19,16,0,1.09953e-05,9.844399e-09,1.0922298e-37,0.0,3.0039617e-12,2.8337465e-26
340000,42,22,0,7.879501e-06,2.0477595e-10,3.9875065e-25,5.4462364e-32,5.9959734e-14,4.7146614e-07
340000,24,39,0,8.238707e-06,1.2951268e-08,2.9504748e-26,6.972399e-34,3.228936e-10,2.347154e-15
340000,36,18,0,7.454736e-06,1.5554312e-10,1.8892328e-36,0.0,6.581645e-16,2.001834e-21
340000,31,28,0,8.229948e-06,7.422406e-08,1.52893e-40,0.0,1.5236589e-09,8.128395e-37
340000,31,38,0,8.510694e-06,1.9768963e-12,6.206001e-25,8.5613945e-32,1.15424e-19,2.767359e-17
340000,31,30,0,8.146299e-06,7.455698e-08,6.7e-44,0.0,1.5237784e-09,6.5240884e-33
340000,12,18,0,8.759869e-06,4.072818e-09,1.1330484e-26,2.6769916e-34,1.2559813e-12,1.0299781e-20
340000,37,15,0,7.9330275e-06,7.4741244e-08,1.5179624e-32,1.0304e-41,1.5505478e-09,3.0574763e-18
340000,7,40,0,6.7634564e-06,8.579758e-11,1.8040254e-15,2.8980896e-19,2.1952477e-14,5.5226215e-09
340000,24,11,0,7.4369987e-06,6.0493326e-09,1.6825611e-26,1.2977311e-33,1.8558109e-12,1.2303612e-23
340000,15,35,0,9.802524e-06,6.14156e-10,7.2641196e-29,1.4881611e-36,2.7378284e-15,2.7464785e-19
340000,39,21,0,9.124379e-06,4.3525215e-09,1.6291867e-34,1.8e-44,1.3153297e-12,3.3639219e-15
340000,17,27,0,9.90511e-06,1.9970253e-11,3.43116e-40,0.0,7.483459e-17,6.4524148e-34
340000,41,39,0,9.744847e-06,2.1684531e-12,2.1664492e-19,2.7504568e-24,1.3818351e-19,3.3546171e-10
340000,30,38,0,1.0225846e-05,2.380921e-12,3.216814e-23,2.5576693e-29,8.029144e-18,7.011053e-17
340000,8,22,0,9.918545e-06,3.8173064e-15,8.029767e-15,7.346083e-18,2.7377967e-19,1.3112008e-15
340000,35,31,0,1.0295413e-05,2.833532e-09,3.211444e-31,1.233654e-39,7.2280566e-13,5.704415e-21
340000,7,8,0,8.448269e-06,5.768951e-13,4.879577e-13,4.6024975e-16,1.9501192e-17,1.1601902e-11
