Epoch,Training Loss,Validation Loss
1,1.079778845199403,1.0796612438868252
2,1.0795605440497296,1.0794429586411955
3,1.0793422748621881,1.0792247090294507
4,1.0791240429292064,1.0790064980880922
5,1.0789058503799858,1.078788327188648
6,1.0786876982398867,1.0785701970516772
7,1.078469587073769,1.0783521080974983
8,1.078251517220225,1.0781340605854726
9,1.0780334888902963,1.0779160546783562
10,1.0778155022157494,1.0776980904763054
11,1.0775975572757264,1.0774801680367099
12,1.0773796541127836,1.0772622873866
13,1.077161792743147,1.0770444485307924
14,1.0769439731635655,1.0768266514574516
15,1.076726195356051,1.0766088961420026
16,1.0765084592912515,1.0763911825499535
17,1.0762907649309121,1.0761735106389803
18,1.0760731122297031,1.0759558803604903
19,1.0758555011366067,1.0757382916608242
20,1.075637931595984,1.0755207444821822
21,1.0754204035484085,1.0753032387633543
22,1.0752029169313224,1.0750857744403048
23,1.0749854716795668,1.0748683514466375
24,1.0747680677258036,1.0746509697139786
25,1.0745507050008671,1.0744336291722876
26,1.0743333834340458,1.0742163297501142
27,1.0741161029533233,1.073999071374816
28,1.073898863485578,1.07378185397274
29,1.0736816649567469,1.0735646774693732
30,1.0734645072919717,1.0733475417894747
31,1.0732473904157194,1.0731304468571885
32,1.073030314251886,1.072913392596138
33,1.0728132787238878,1.0726963789295123
34,1.07259628375474,1.0724794057801352
35,1.0723793292671244,1.0722624730705332
36,1.0721624151834506,1.0720455807229892
37,1.0719455414259078,1.0718287286595922
38,1.071728707916513,1.0716119168022828
39,1.071511914577153,1.07139514507289
40,1.0712951613296193,1.0711784133931692
41,1.0710784480956443,1.0709617216848315
42,1.07086177479693,1.070745069869572
43,1.070645141355175,1.0705284578690977
44,1.0704285476920992,1.0703118856051486
45,1.0702119937294658,1.0700953529995187
46,1.0699954793891029,1.0698788599740778
47,1.0697790045929196,1.0696624064507865
48,1.0695625692629258,1.0694459923517132
49,1.0693461733212462,1.0692296175990497
50,1.0691298166901329,1.0690132821151244
51,1.0689134992919829,1.0687969858224142
52,1.0686972210493464,1.0685807286435578
53,1.0684809818849406,1.0683645105013655
54,1.0682647817216584,1.0681483313188287
55,1.0680486204825796,1.0679321910191317
56,1.0678324980909795,1.0677160895256579
57,1.0676164144703366,1.0675000267619992
58,1.0674003695443424,1.0672840026519632
59,1.0671843632369071,1.0670680171195817
60,1.0669683954721674,1.0668520700891149
61,1.0667524661744918,1.06663616148506
62,1.0665365752684897,1.0664202912321565
63,1.0663207226790135,1.0662044592553914
64,1.066104908331167,1.0659886654800048
65,1.0658891321503081,1.0657729098314948
66,1.0656733940620569,1.0655571922356222
67,1.0654576939922962,1.065341512618414
68,1.0652420318671785,1.0651258709061708
69,1.0650264076131306,1.0649102670254667
70,1.0648108211568548,1.0646947009031553
71,1.0645952724253351,1.0644791724663727
72,1.0643797613458394,1.0642636816425417
73,1.0641642878459243,1.0640482283593744
74,1.0639488518534352,1.0638328125448742
75,1.0637334532965124,1.0636174341273414
76,1.0635180921035936,1.0634020930353731
77,1.0633027682034135,1.063186789197868
78,1.0630874815250113,1.0629715225440268
79,1.0628722319977288,1.0627562930033574
80,1.0626570195512148,1.0625411005056753
81,1.0624418441154277,1.0623259449811049
82,1.0622267056206367,1.0621108263600845
83,1.0620116039974243,1.0618957445733652
84,1.0617965391766873,1.0616806995520152
85,1.0615815110896407,1.0614656912274203
86,1.061366519667817,1.061250719531286
87,1.0611515648430705,1.0610357843956386
88,1.0609366465475762,1.0608208857528285
89,1.0607217647138336,1.0606060235355297
90,1.0605069192746672,1.060391197676742
91,1.0602921101632277,1.0601764081097924
92,1.0600773373129937,1.0599616547683377
93,1.0598626006577736,1.0597469375863626
94,1.0596479001317052,1.0595322564981844
95,1.0594332356692582,1.0593176114384515
96,1.0592186072052354,1.059103002342146
97,1.0590040146747728,1.0588884291445844
98,1.0587894580133408,1.0586738917814178
99,1.0585749371567466,1.0584593901886339
100,0.964631694824524,0.8620568545631028
101,0.7860231813980181,0.7037219537255174
102,0.6429743164150619,0.577100345496784
103,0.528220533964789,0.47506286830424443
104,0.4354079905766583,0.39217927283066656
105,0.35979631091746583,0.3244307925452369
106,0.29785477307902686,0.2687913460110797
107,0.24689917727583874,0.22293314142708218
108,0.2048479255532337,0.18503380880928544
109,0.17006108537709183,0.15364713982664213
110,0.14123085183659795,0.1276132735801322
111,0.11730431957978422,0.10599423698774729
112,0.09742738972453639,0.08802644148653288
113,0.08090302852303985,0.07308492042027498
114,0.06715959168011482,0.06065593110542427
115,0.055726397382051575,0.05031565992476603
116,0.04621463572592497,0.0417134698197332
117,0.03830228035448506,0.03455858623001112
118,0.03172204950350352,0.028609423759575987
119,0.02625172226561497,0.023664966402506243
120,0.021706295401432017,0.019557762121740867
121,0.01793159326330347,0.016148198559770215
122,0.014799035228213436,0.013319803879778512
123,0.012201332395760517,0.01097537385481224
124,0.010048935435637731,0.00903376915107332
125,0.008267093262275812,0.007427259260586478
126,0.006793411044309287,0.006099314490249181
127,0.005575818284893611,0.005002766760163068
128,0.004570875014818687,0.00409827510284419
129,0.003742357734290062,0.0033530437020396213
130,0.0030600775047698262,0.002739749811723926
131,0.0024988911818310355,0.0022356465068606927
132,0.002037873680494482,0.0018218113538080757
133,0.0016596247429634314,0.001482517065104722
134,0.0013496882141973564,0.0012047042618018116
135,0.0010960655375550855,0.0009775397922963049
136,0.0008888082264841715,0.0007920467941258019
137,0.000719676578116006,0.0006407949474286296
138,0.0005818539721058054,0.000517641244872038
139,0.00046970782338567245,0.0004175131635749261
140,0.00037858969458287405,0.0003362274264416159
141,0.0003046682739086714,0.00027033862886478323
142,0.0002447899286376358,0.00021701291873340043
143,0.00019636264604860944,0.00017392347159481613
144,0.00015725811811342336,0.00013915887634929336
145,0.00012573212768794567,0.00011115788015439448
146,0.00010035774301839985,8.864113694684227e-05
147,7.996823486416855e-05,7.056465809397779e-05
148,6.361171938724305e-05,5.607730212814482e-05
149,5.051273427212047e-05,4.4486277611933123e-05
150,4.004053944884005e-05,3.522859426531812e-05
151,3.168294062955716e-05,2.784749193792923e-05
152,2.5024696549452604e-05,2.1973014726523174e-05
153,1.9729732626324465e-05,1.7306022650636358e-05
154,1.552651205534149e-05,1.360505276832124e-05
155,1.2196022575975707e-05,1.0675539075683637e-05
156,9.561927014257085e-06,8.36098204651136e-06
157,7.482501082921504e-06,6.535727189233739e-06
158,5.8440451539999276e-06,5.099069417387462e-06
159,4.555509697335581e-06,3.970448108245658e-06
160,3.5441184164226444e-06,3.085537939595593e-06
161,2.751810172163649e-06,2.393074177576414e-06
162,2.132351718528985e-06,1.8522791023136375e-06
163,1.6489990577949064e-06,1.4307795866730136e-06
164,1.272607027858374e-06,1.1029340852331536e-06
165,9.803234126368288e-07,8.484382906003343e-07
166,7.533039486925859e-07,6.513030199069973e-07
167,5.777036054252612e-07,4.989054801859837e-07
168,4.4211146413844647e-07,3.8135353663467514e-07
169,3.3762047809286564e-07,2.908699772381146e-07
170,2.5726683384835493e-07,2.2137149908347527e-07
171,1.956080337026439e-07,1.6810733436418007e-07
172,1.4839789298939474e-07,1.2737500034682403e-07
173,1.1233039502657834e-07,9.62951993395315e-08
174,8.48370631773553e-08,7.263370433156307e-08
175,6.39267978850899e-08,5.466067740336583e-08
176,4.8059512684438e-08,4.103978957360515e-08
177,3.6046646149500824e-08,3.074103456742599e-08
178,2.6973006088096024e-08,2.2972322507198586e-08
179,2.0135509112949876e-08,1.712592839655558e-08
180,1.4999768167693546e-08,1.2906336383813013e-08
181,1.1557136910915854e-08,9.566146673196001e-09
182,8.323053323227146e-09,7.001717550157053e-09
183,6.115478348521524e-09,5.162834840552203e-09
184,4.5031047881008234e-09,3.80231176261924e-09
185,3.311150736680575e-09,2.7926317099467036e-09
186,2.4291549267936605e-09,2.045880315177681e-09
187,1.7776478872231111e-09,1.4949943942865466e-09
188,1.2975687544602816e-09,1.0905069192418798e-09
189,1.1079431600363062e-09,8.168097909709114e-10
190,7.395612545701206e-10,5.989116929696997e-10
191,5.08150324145491e-10,4.1647890854448937e-10
192,3.6049727327107264e-10,3.007667185840902e-10
193,2.5873066510394017e-10,2.1529253849606768e-10
194,1.8559233838614975e-10,1.544123570759959e-10
195,1.3289263903513134e-10,1.1039576484949444e-10
196,9.490433795855012e-11,7.871335578370879e-11
197,6.75867736330102e-11,5.596647548624894e-11
198,4.799482166217998e-11,3.9678036590852025e-11
199,3.3983324671160534e-11,2.8048031122868054e-11
200,2.39917516534416e-11,1.976838007815315e-11
201,1.688788105245215e-11,1.3897059486859767e-11
202,1.3194319956613402e-10,3.9646656313220237e-10
203,1.4538025915580678e-10,4.953764902016671e-11
204,3.1228983204776205e-11,1.445274417244742e-11
205,8.785212075866345e-12,5.66168356536569e-12
206,3.698236097113179e-12,2.7285800265940046e-12
207,2.0987767352512665e-12,1.6326249059591313e-12
208,1.3592005461525812e-12,1.0821569184121421e-12
209,9.677542275366307e-13,2.1128180577649944e-12
210,2.2580022630065557e-10,2.924212550633027e-10
211,9.735169652404801e-11,3.5651212599180785e-10
212,2.0265914452981606e-10,1.1967388249385944e-11
213,2.6726704872616288e-11,1.9435075897292267e-11
214,5.882521335794656e-12,2.8590226853184774e-13
215,1.0546332423351156e-12,6.691617410884216e-13
216,2.5505406098932973e-13,5.6446460075139293e-14
217,1.1531717760858829e-10,1.6866773661185485e-09
218,4.063520429295581e-10,1.181838034812051e-10
219,6.280426339157274e-11,2.53033296659736e-11
220,1.1286045547778182e-11,4.54447341038063e-12
221,2.186932013371346e-12,6.555782609835794e-13
222,3.914912138513311e-13,1.3807156301046465e-13
223,7.867439810604489e-14,4.563686980959008e-14
224,1.665790802418133e-14,2.0977411096853185e-15
225,4.011318517585782e-15,2.89290090756981e-15
