mcsteps,xCOM,yCOM,zCOM,il8,il1,il6,il10,tnf,tgf
910000,8,8,0,2.0963209e-05,1.1845312e-10,1.0681634e-13,1.874153e-17,6.706342e-16,1.07527966e-10
910000,25,29,0,1.3930775e-05,7.26315e-08,2.8e-44,0.0,3.0577296e-09,1.1269587e-29
910000,12,8,0,1.7106617e-05,1.1411048e-07,4.9515913e-14,8.530979e-18,3.7601184e-09,1.2382441e-08
910000,32,30,0,1.6073265e-05,1.5693352e-08,1.0702854e-34,1e-45,1.0103645e-11,1.5605995e-22
910000,25,24,0,1.792689e-05,2.5983395e-08,0.0,0.0,1.8869097e-11,2.0093972e-37
910000,18,42,0,1.0225073e-05,2.9239004e-08,6.79685e-09,2.3107725e-10,1.1083393e-09,1.9574452e-06
910000,7,24,0,1.7367875e-05,2.714589e-11,7.1080084e-14,1.2204209e-17,3.0663438e-18,9.724205e-09
910000,20,25,0,1.3771381e-05,3.335018e-08,6e-45,0.0,1.462474e-09,3.8762955e-34
910000,13,17,0,1.8323892e-05,3.1371446e-08,1.6528917e-23,4.321347e-31,1.9961708e-11,9.491851e-20
910000,33,8,0,1.7483015e-05,1.118336e-09,7.068257e-21,4.0427916e-27,8.320793e-13,8.701506e-08
910000,19,16,0,2.0453725e-05,4.9243766e-08,1.3565189e-32,3.03e-43,3.2350452e-11,3.980702e-21
910000,36,18,0,1.3440346e-05,7.651134e-08,1.458256e-25,3.562439e-33,1.4821266e-09,5.762981e-13
910000,31,28,0,1.5362933e-05,1.14343614e-07,7.341782e-35,1e-45,5.3444627e-09,4.1282004e-27
910000,31,38,0,1.642286e-05,1.6017178e-10,7.592967e-21,3.240698e-26,3.8174335e-16,3.3781754e-14
910000,31,30,0,1.4950632e-05,1.15780516e-07,3.8419546e-37,0.0,5.3457954e-09,1.7834524e-24
910000,12,18,0,1.7507615e-05,1.609245e-08,3.8610974e-23,1.0085282e-30,9.9842105e-12,3.0634584e-17
910000,37,15,0,1.3839693e-05,1.18524795e-07,1.0946135e-20,4.164918e-26,4.4573563e-09,1.6563318e-11
910000,7,40,0,1.0612032e-05,9.131494e-10,1.1064771e-10,6.213413e-13,6.3638195e-13,1.6112024e-07
910000,24,11,0,1.40039565e-05,2.9858402e-08,8.842304e-22,6.5795665e-28,1.0598051e-10,1.935914e-13
910000,15,35,0,1.994438e-05,6.2872774e-09,6.863004e-20,3.2644013e-25,6.3806457e-14,8.907558e-12
910000,39,21,0,1.7250915e-05,1.7422106e-08,5.1192926e-25,1.249321e-32,1.0668995e-11,1.179407e-11
910000,41,39,0,1.9171512e-05,6.232482e-11,1.2181358e-12,1.1729287e-15,6.2356395e-17,5.241776e-09
910000,30,38,0,1.9617413e-05,1.2344429e-09,1.7268735e-20,1.4020963e-26,3.676173e-13,8.6080774e-14
910000,8,22,0,2.0079997e-05,1.1483075e-12,1.3565531e-12,1.3632957e-15,7.4350104e-17,2.8233577e-11
910000,35,31,0,1.8828165e-05,2.0460197e-08,3.1904188e-26,1.4001638e-34,1.0610138e-11,5.170474e-16
910000,7,8,0,1.5733445e-05,2.6898922e-11,7.2077106e-12,7.36257e-15,4.5795456e-16,1.714339e-09
910000,19,36,0,2.02464e-05,1.5675894e-08,1.1489248e-21,8.979075e-28,9.979661e-12,8.045582e-13
910000,40,9,0,1.7702232e-05,5.7980422e-08,5.072339e-16,1.4842246e-20,2.7022924e-09,4.1488082e-08
910000,23,31,0,1.762152e-05,2.782316e-07,4.333366e-39,0.0,1.4086187e-08,2.4452762e-22
910000,40,39,0,2.221912e-05,5.101424e-10,8.816484e-15,1.4504264e-18,5.5353125e-15,2.048343e-10
910000,36,26,0,2.1897124e-05,2.0689583e-08,9.784109e-26,1.2920706e-33,1.3474065e-11,1.3368529e-17
910000,36,40,0,1.5037955e-05,1.4918998e-09,1.9583647e-19,7.9973594e-25,1.4465942e-14,2.5348601e-08
910000,41,14,0,1.41848295e-05,7.0954465e-09,1.8954815e-09,5.933233e-11,9.801863e-11,6.0427834e-07
910000,14,14,0,2.0083238e-05,3.894965e-07,4.1338536e-24,1.0803493e-31,1.4911095e-08,2.185883e-18
910000,25,19,0,1.639395e-05,2.4639587e-07,1.49108e-40,0.0,1.019132e-08,8.84249e-28
910000,27,27,0,2.091406e-05,3.1234246e-09,1e-45,0.0,1.6347637e-13,1.1196089e-33
910000,38,31,0,2.0488393e-05,1.9681788e-07,1.3741441e-19,1.2403042e-25,7.2520923e-09,5.3119325e-11
910000,29,33,0,1.9934925e-05,7.2321725e-08,3.5336526e-31,4.5712e-41,2.6537026e-09,6.645573e-22
910000,36,10,0,2.0693837e-05,8.2585716e-11,3.756199e-20,1.7804269e-25,1.8295303e-16,2.1697605e-12
910000,31,17,0,2.156432e-05,1.5237245e-09,2.332074e-36,0.0,1.2434456e-14,1.7512318e-20
910000,19,34,0,1.5396196e-05,8.999901e-09,1.5403526e-26,3.4624985e-34,5.2332275e-12,3.0657672e-16
910000,35,8,0,1.7835508e-05,4.1102672e-12,4.9078747e-17,1.3759053e-21,5.648045e-19,3.8117256e-09
910000,22,19,0,1.7892915e-05,3.749388e-08,2.623025e-38,0.0,5.468111e-10,3.1552392e-30
910000,33,18,0,1.8645476e-05,2.6750595e-09,5.057656e-33,6.15e-43,2.6030834e-14,1.6944841e-18
910000,28,24,0,1.9720655e-05,2.3924602e-09,0.0,0.0,2.4073191e-14,2.4095354e-31
910000,42,8,0,1.3298581e-05,1.2073396e-07,1.0118686e-13,2.523655e-17,3.5768707e-07,4.7868457e-07
910000,12,40,0,1.5202535e-05,2.4368965e-09,1.150322e-13,2.0215781e-17,1.3752812e-12,1.1959925e-09
910000,24,8,0,1.9961908e-05,6.1097616e-08,4.2339713e-15,6.536053e-19,8.6478685e-10,3.6413788e-08
910000,20,34,0,1.5595613e-05,1.3574151e-09,2.5679192e-27,1.1399036e-35,1.2218171e-14,1.6504966e-17
910000,32,7,0,1.617669e-05,2.2721443e-09,2.9066538e-17,2.2084039e-22,1.6647107e-12,9.071771e-08
910000,35,17,0,1.4617475e-05,1.18718084e-07,3.6464106e-26,8.906254e-34,1.5134349e-09,1.5055513e-15
910000,9,38,0,1.7110391e-05,2.2899304e-12,8.09549e-15,1.3267221e-18,1.8526051e-19,1.5299947e-10
910000,32,41,0,1.8186647e-05,3.3943666e-09,2.9152123e-15,4.651047e-19,1.1373705e-12,8.567403e-09
910000,25,15,0,2.2222317e-05,1.2187694e-10,9.586247e-30,3.8400564e-38,4.935181e-16,1.1187874e-19
910000,12,32,0,1.6419415e-05,3.491616e-08,8.229747e-27,2.9152782e-35,5.8838706e-10,6.436104e-14
910000,39,42,0,1.8868403e-05,1.803379e-09,4.626229e-09,1.4973836e-10,8.1489655e-11,1.1086065e-08
910000,34,25,0,1.7708004e-05,5.2913642e-09,2.724067e-32,1.228e-42,1.794511e-12,5.605409e-21
910000,10,33,0,1.5687327e-05,5.585164e-08,3.215004e-21,4.867019e-28,1.0349842e-09,2.109187e-11
910000,10,21,0,1.973266e-05,6.788957e-11,3.040198e-18,1.5052219e-23,3.445559e-16,3.78206e-14
910000,33,35,0,1.9348741e-05,1.1369753e-10,1.2402658e-30,4.27494e-40,1.5434206e-17,3.1239634e-17
910000,28,8,0,1.2529668e-05,2.129936e-08,1.08491605e-10,5.975021e-13,2.9940891e-10,9.791197e-07
910000,39,23,0,2.0303536e-05,1.2557372e-07,2.4529005e-24,2.306064e-31,6.309829e-09,9.573364e-11
