mcsteps,xCOM,yCOM,il8,il1,il6,il10,tnf,tgf
10000,147,190,[1.1626305e-08],[0.],[0.],[0.],[0.],[0.]
10000,91,111,[1.1880099e-08],[0.],[0.],[0.],[0.],[0.]
10000,135,29,[1.16262235e-08],[0.],[0.],[0.],[0.],[0.]
10000,144,67,[1.1626461e-08],[0.],[0.],[0.],[0.],[0.]
10000,197,67,[1.2136565e-08],[0.],[0.],[0.],[0.],[0.]
10000,57,34,[1.162704e-08],[0.],[0.],[0.],[0.],[0.]
10000,214,122,[1.1696903e-08],[0.],[0.],[0.],[0.],[0.]
10000,72,61,[1.1626741e-08],[0.],[0.],[0.],[0.],[0.]
10000,152,139,[1.1626949e-08],[0.],[0.],[0.],[0.],[0.]
10000,205,220,[1.1627108e-08],[0.],[0.],[0.],[0.],[0.]
10000,111,215,[1.1626378e-08],[0.],[0.],[0.],[0.],[0.]
10000,216,56,[1.1626242e-08],[0.],[0.],[0.],[0.],[0.]
10000,78,110,[1.1626333e-08],[0.],[0.],[0.],[0.],[0.]
10000,31,149,[1.1633144e-08],[0.],[0.],[0.],[0.],[0.]
10000,164,98,[1.188846e-08],[0.],[0.],[0.],[0.],[0.]
10000,146,51,[1.1635131e-08],[0.],[0.],[0.],[0.],[0.]
10000,37,96,[1.1881569e-08],[0.],[0.],[0.],[0.],[0.]
10000,187,196,[1.1627416e-08],[0.],[0.],[0.],[0.],[0.]
10000,156,68,[1.1627896e-08],[0.],[0.],[0.],[0.],[0.]
10000,67,66,[1.1631338e-08],[0.],[0.],[0.],[0.],[0.]
10000,58,62,[1.16409185e-08],[0.],[0.],[0.],[0.],[0.]
10000,181,162,[1.2533503e-08],[0.],[0.],[0.],[0.],[0.]
10000,35,95,[1.1901694e-08],[0.],[0.],[0.],[0.],[0.]
10000,221,66,[1.17316725e-08],[1.7819123e-19],[0.],[0.],[0.],[0.]
10000,201,104,[1.1673978e-08],[0.],[0.],[0.],[0.],[0.]
10000,57,218,[1.1634474e-08],[0.],[0.],[0.],[0.],[0.]
10000,95,85,[1.1627028e-08],[0.],[0.],[0.],[0.],[0.]
10000,169,47,[1.1626177e-08],[0.],[0.],[0.],[0.],[0.]
10000,70,33,[1.1732398e-08],[0.],[0.],[0.],[0.],[0.]
10000,142,34,[1.2548404e-08],[0.],[0.],[0.],[0.],[0.]
10000,139,84,[1.1640873e-08],[0.],[0.],[0.],[0.],[0.]
10000,63,74,[1.1630911e-08],[0.],[0.],[0.],[0.],[0.]
10000,129,147,[1.1821091e-08],[0.],[0.],[0.],[0.],[0.]
10000,43,202,[1.16279475e-08],[0.],[0.],[0.],[0.],[0.]
10000,190,220,[1.1626593e-08],[0.],[0.],[0.],[0.],[0.]
10000,57,182,[1.1626436e-08],[0.],[0.],[0.],[0.],[0.]
10000,74,95,[1.1630964e-08],[0.],[0.],[0.],[0.],[0.]
10000,95,70,[1.1626396e-08],[0.],[0.],[0.],[0.],[0.]
10000,152,52,[1.4110791e-08],[0.],[0.],[0.],[0.],[0.]
10000,74,125,[1.163321e-08],[0.],[0.],[0.],[0.],[0.]
10000,32,32,[1.1626179e-08],[0.],[0.],[0.],[0.],[0.]
10000,172,97,[1.162842e-08],[0.],[0.],[0.],[0.],[0.]
10000,221,170,[1.2701902e-08],[5.759899e-23],[0.],[0.],[0.],[0.]
10000,115,202,[1.4092677e-08],[0.],[0.],[0.],[0.],[0.]
10000,36,163,[1.1626179e-08],[0.],[0.],[0.],[0.],[0.]
10000,56,86,[1.1626187e-08],[0.],[0.],[0.],[0.],[0.]
10000,136,55,[1.16545396e-08],[0.],[0.],[0.],[0.],[0.]
10000,55,118,[1.1626185e-08],[0.],[0.],[0.],[0.],[0.]
10000,100,182,[1.164263e-08],[0.],[0.],[0.],[0.],[0.]
10000,137,47,[1.1626212e-08],[0.],[0.],[0.],[0.],[0.]
10000,113,39,[1.21885115e-08],[0.],[0.],[0.],[0.],[0.]
10000,32,211,[1.162618e-08],[0.],[0.],[0.],[0.],[0.]
10000,136,153,[1.1894454e-08],[0.],[0.],[0.],[0.],[0.]
10000,105,169,[1.4098224e-08],[0.],[0.],[0.],[0.],[0.]
10000,123,107,[1.16261845e-08],[0.],[0.],[0.],[0.],[0.]
10000,125,192,[1.1740705e-08],[0.],[0.],[0.],[0.],[0.]
10000,196,173,[1.1717035e-08],[0.],[0.],[0.],[0.],[0.]
10000,173,117,[1.1627936e-08],[0.],[0.],[0.],[0.],[0.]
10000,85,177,[1.1633051e-08],[0.],[0.],[0.],[0.],[0.]
10000,194,196,[1.16263745e-08],[0.],[0.],[0.],[0.],[0.]
10000,112,205,[1.1661216e-08],[0.],[0.],[0.],[0.],[0.]
